 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3308.192011         -0.0702          0.0049          0.0049
     1    -3384.686604    -3308.192011         -0.0365          0.0013          0.0062
     2    -3384.674259    -3308.192011         -0.0177          0.0003          0.0065
     3    -3384.656828    -3308.192011          0.0232          0.0005          0.0070
     4    -3384.166683    -3308.192011         -0.0107          0.0001          0.0071
     5    -3384.151793    -3308.192011         -0.0138          0.0002          0.0073
     6    -3384.137702    -3308.192011          0.0050          0.0000          0.0073
     7    -3383.631600    -3308.192011          0.0038          0.0000          0.0073
     8    -3324.092677    -3308.192011         -0.1487          0.0221          0.0294
     9    -3323.716485    -3308.192011          0.0463          0.0021          0.0315
    10    -3323.566754    -3308.192011         -0.0427          0.0018          0.0333
    11    -3323.555854    -3308.192011         -0.0820          0.0067          0.0400
    12    -3323.258184    -3308.192011          0.3869          0.1497          0.1897
    13    -3323.211506    -3308.192011         -0.0224          0.0005          0.1902
    14    -3323.110749    -3308.192011         -0.0110          0.0001          0.1903
    15    -3323.049397    -3308.192011         -0.0227          0.0005          0.1908
    16    -3322.791035    -3308.192011          0.1312          0.0172          0.2080
    17    -3322.780530    -3308.192011         -0.1515          0.0229          0.2309
    18    -3322.744266    -3308.192011          0.1204          0.0145          0.2454
    19    -3322.694503    -3308.192011          0.0079          0.0001          0.2455
    20    -3322.292629    -3308.192011         -0.0326          0.0011          0.2466
    21    -3322.282352    -3308.192011         -0.0553          0.0031          0.2497
    22    -3322.262426    -3308.192011         -0.0592          0.0035          0.2532
    23    -3321.807791    -3308.192011         -0.0198          0.0004          0.2536
    24    -3313.011776    -3308.192011         -0.0019          0.0000          0.2536
    25    -3312.159585    -3308.192011          0.0042          0.0000          0.2536
    26    -3311.430065    -3308.192011         -0.0052          0.0000          0.2536
    27    -3311.314435    -3308.192011         -0.0035          0.0000          0.2536
    28    -3310.174660    -3308.192011          0.0112          0.0001          0.2537
    29    -3309.915233    -3308.192011          0.0113          0.0001          0.2538
    30    -3309.898918    -3308.192011         -0.7330          0.5373          0.7911
    31    -3309.408416    -3308.192011         -0.2826          0.0799          0.8710
    32    -3309.394598    -3308.192011          0.2155          0.0465          0.9175
    33    -3309.348227    -3308.192011         -0.0049          0.0000          0.9175
    34    -3309.271312    -3308.192011          0.2079          0.0432          0.9607
    35    -3308.864037    -3308.192011          0.0786          0.0062          0.9669
    36    -3308.830127    -3308.192011          0.0808          0.0065          0.9734
    37    -3308.755980    -3308.192011          0.0400          0.0016          0.9750
    38    -3308.204893    -3308.192011         -0.0133          0.0002          0.9752
    39    -3306.604695    -3308.192011          0.1158          0.0134          0.9886
    40    -3294.964588    -3308.192011         -0.0064          0.0000          0.9886
    41    -3294.649568    -3308.192011          0.0017          0.0000          0.9886
    42    -3293.969085    -3308.192011         -0.0100          0.0001          0.9887
    43    -3293.461617    -3308.192011         -0.0025          0.0000          0.9887
    44    -3293.448363    -3308.192011         -0.0030          0.0000          0.9887
