 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3308.094170          0.0514          0.0026          0.0026
     1    -3384.686604    -3308.094170          0.0270          0.0007          0.0033
     2    -3384.674259    -3308.094170          0.0141          0.0002          0.0035
     3    -3384.656828    -3308.094170         -0.0173          0.0003          0.0038
     4    -3384.166683    -3308.094170          0.0088          0.0001          0.0039
     5    -3384.151793    -3308.094170          0.0106          0.0001          0.0040
     6    -3384.137702    -3308.094170         -0.0044          0.0000          0.0040
     7    -3383.631600    -3308.094170         -0.0034          0.0000          0.0040
     8    -3324.092677    -3308.094170          0.1308          0.0171          0.0211
     9    -3323.716485    -3308.094170         -0.0414          0.0017          0.0228
    10    -3323.566754    -3308.094170          0.0374          0.0014          0.0242
    11    -3323.555854    -3308.094170          0.0700          0.0049          0.0291
    12    -3323.258184    -3308.094170         -0.3115          0.0970          0.1261
    13    -3323.211506    -3308.094170          0.0187          0.0003          0.1264
    14    -3323.110749    -3308.094170          0.0109          0.0001          0.1265
    15    -3323.049397    -3308.094170          0.0199          0.0004          0.1269
    16    -3322.791035    -3308.094170         -0.1036          0.0107          0.1376
    17    -3322.780530    -3308.094170          0.1176          0.0138          0.1514
    18    -3322.744266    -3308.094170         -0.0920          0.0085          0.1599
    19    -3322.694503    -3308.094170         -0.0068          0.0000          0.1599
    20    -3322.292629    -3308.094170          0.0234          0.0005          0.1604
    21    -3322.282352    -3308.094170          0.0418          0.0017          0.1621
    22    -3322.262426    -3308.094170          0.0441          0.0019          0.1640
    23    -3321.807791    -3308.094170          0.0137          0.0002          0.1642
    24    -3313.011776    -3308.094170          0.0005          0.0000          0.1642
    25    -3312.159585    -3308.094170         -0.0019          0.0000          0.1642
    26    -3311.430065    -3308.094170          0.0046          0.0000          0.1642
    27    -3311.314435    -3308.094170         -0.0007          0.0000          0.1642
    28    -3310.174660    -3308.094170         -0.0099          0.0001          0.1643
    29    -3309.915233    -3308.094170         -0.0078          0.0001          0.1644
    30    -3309.898918    -3308.094170          0.7521          0.5657          0.7301
    31    -3309.408416    -3308.094170          0.3097          0.0959          0.8260
    32    -3309.394598    -3308.094170         -0.2387          0.0570          0.8830
    33    -3309.348227    -3308.094170          0.0150          0.0002          0.8832
    34    -3309.271312    -3308.094170         -0.2605          0.0679          0.9511
    35    -3308.864037    -3308.094170         -0.1152          0.0133          0.9644
