 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3303.033254          0.1931          0.0373          0.0373
     1    -3384.686604    -3303.033254          0.0982          0.0096          0.0469
     2    -3384.674259    -3303.033254          0.0432          0.0019          0.0488
     3    -3384.656828    -3303.033254         -0.0629          0.0040          0.0528
     4    -3384.166683    -3303.033254          0.0231          0.0005          0.0533
     5    -3384.151793    -3303.033254          0.0334          0.0011          0.0544
     6    -3384.137702    -3303.033254         -0.0111          0.0001          0.0545
     7    -3383.631600    -3303.033254         -0.0066          0.0000          0.0545
     8    -3324.092677    -3303.033254          0.1424          0.0203          0.0748
     9    -3323.716485    -3303.033254         -0.0427          0.0018          0.0766
    10    -3323.566754    -3303.033254          0.0405          0.0016          0.0782
    11    -3323.555854    -3303.033254          0.0894          0.0080          0.0862
    12    -3323.258184    -3303.033254         -0.5445          0.2965          0.3827
    13    -3323.211506    -3303.033254          0.0288          0.0008          0.3835
    14    -3323.110749    -3303.033254          0.0031          0.0000          0.3835
    15    -3323.049397    -3303.033254          0.0215          0.0005          0.3840
    16    -3322.791035    -3303.033254         -0.1962          0.0385          0.4225
    17    -3322.780530    -3303.033254          0.2399          0.0576          0.4801
    18    -3322.744266    -3303.033254         -0.2118          0.0449          0.5250
    19    -3322.694503    -3303.033254         -0.0086          0.0001          0.5251
    20    -3322.292629    -3303.033254          0.0662          0.0044          0.5295
    21    -3322.282352    -3303.033254          0.0947          0.0090          0.5385
    22    -3322.262426    -3303.033254          0.1092          0.0119          0.5504
    23    -3321.807791    -3303.033254          0.0434          0.0019          0.5523
    24    -3313.011776    -3303.033254          0.0087          0.0001          0.5524
    25    -3312.159585    -3303.033254         -0.0140          0.0002          0.5526
    26    -3311.430065    -3303.033254         -0.0021          0.0000          0.5526
    27    -3311.314435    -3303.033254          0.0266          0.0007          0.5533
    28    -3310.174660    -3303.033254          0.0008          0.0000          0.5533
    29    -3309.915233    -3303.033254         -0.0204          0.0004          0.5537
