 Index             RefE       eigenvalue          overlap  overlap-squared            Total
    97    -3247.503460    -3277.090716          0.0135          0.0002          0.9122
    98    -3247.479025    -3277.090716         -0.0008          0.0000          0.9122
    99    -3246.755572    -3277.090716          0.0285          0.0008          0.9130
   100    -3246.730679    -3277.090716         -0.0023          0.0000          0.9130
   101    -3246.352127    -3277.090716         -0.0104          0.0001          0.9131
   102    -3246.224469    -3277.090716         -0.0092          0.0001          0.9132
   103    -3246.195911    -3277.090716          0.0093          0.0001          0.9133
   104    -3246.172002    -3277.090716          0.0055          0.0000          0.9133
   105    -3246.053013    -3277.090716          0.0063          0.0000          0.9133
   106    -3245.953610    -3277.090716         -0.0198          0.0004          0.9137
   107    -3245.895239    -3277.090716         -0.0036          0.0000          0.9137
   108    -3245.844571    -3277.090716         -0.0019          0.0000          0.9137
   109    -3245.579325    -3277.090716         -0.0018          0.0000          0.9137
   110    -3245.504930    -3277.090716         -0.0095          0.0001          0.9138
   111    -3245.485856    -3277.090716          0.0049          0.0000          0.9138
   112    -3245.479944    -3277.090716          0.0051          0.0000          0.9138
   113    -3245.425541    -3277.090716          0.0008          0.0000          0.9138
   114    -3245.399208    -3277.090716         -0.0060          0.0000          0.9138
   115    -3245.109414    -3277.090716         -0.0006          0.0000          0.9138
   116    -3245.106144    -3277.090716         -0.0090          0.0001          0.9139
   117    -3244.957846    -3277.090716          0.0019          0.0000          0.9139
   118    -3244.782838    -3277.090716         -0.0031          0.0000          0.9139
   119    -3244.619912    -3277.090716          0.0102          0.0001          0.9140
   120    -3244.534547    -3277.090716         -0.0007          0.0000          0.9140
   121    -3244.097470    -3277.090716         -0.0271          0.0007          0.9147
   122    -3242.685229    -3277.090716         -0.0103          0.0001          0.9148
   123    -3241.076230    -3277.090716          0.0378          0.0014          0.9162
   124    -3235.618254    -3277.090716         -0.0029          0.0000          0.9162
   125    -3235.388333    -3277.090716         -0.0049          0.0000          0.9162
   126    -3234.836173    -3277.090716          0.0039          0.0000          0.9162
   127    -3234.303853    -3277.090716          0.0028          0.0000          0.9162
   128    -3234.269794    -3277.090716          0.0008          0.0000          0.9162
   129    -3234.263268    -3277.090716         -0.0107          0.0001          0.9163
   130    -3233.924075    -3277.090716         -0.0016          0.0000          0.9163
   131    -3233.857978    -3277.090716          0.0028          0.0000          0.9163
   132    -3233.722968    -3277.090716         -0.0154          0.0002          0.9165
   133    -3233.561159    -3277.090716         -0.0220          0.0005          0.9170
   134    -3233.405649    -3277.090716          0.0002          0.0000          0.9170
   135    -3233.317540    -3277.090716         -0.0024          0.0000          0.9170
   136    -3233.204574    -3277.090716         -0.0000          0.0000          0.9170
   137    -3233.020975    -3277.090716          0.0028          0.0000          0.9170
   138    -3232.805494    -3277.090716         -0.0008          0.0000          0.9170
   139    -3232.529717    -3277.090716         -0.0007          0.0000          0.9170
   140    -3231.395595    -3277.090716          0.0327          0.0011          0.9181
   141    -3230.770662    -3277.090716         -0.0021          0.0000          0.9181
   142    -3230.658147    -3277.090716         -0.0008          0.0000          0.9181
   143    -3230.256490    -3277.090716         -0.0004          0.0000          0.9181
   144    -3230.159246    -3277.090716         -0.0004          0.0000          0.9181
   145    -3229.711807    -3277.090716          0.0001          0.0000          0.9181
   146    -3228.915750    -3277.090716         -0.0396          0.0016          0.9197
   147    -3228.362164    -3277.090716         -0.0017          0.0000          0.9197
   148    -3228.359042    -3277.090716         -0.0015          0.0000          0.9197
   149    -3228.243207    -3277.090716         -0.0015          0.0000          0.9197
   150    -3227.363642    -3277.090716         -0.0029          0.0000          0.9197
   151    -3227.182521    -3277.090716          0.0042          0.0000          0.9197
   152    -3226.785594    -3277.090716         -0.0076          0.0001          0.9198
   153    -3226.708643    -3277.090716          0.0021          0.0000          0.9198
   154    -3226.609391    -3277.090716          0.0026          0.0000          0.9198
   155    -3225.307675    -3277.090716         -0.0047          0.0000          0.9198
   156    -3224.913414    -3277.090716          0.0034          0.0000          0.9198
   157    -3224.785865    -3277.090716         -0.0020          0.0000          0.9198
   158    -3224.567343    -3277.090716         -0.0003          0.0000          0.9198
   159    -3224.409340    -3277.090716         -0.0017          0.0000          0.9198
   160    -3224.325840    -3277.090716         -0.0013          0.0000          0.9198
   161    -3224.275836    -3277.090716         -0.0047          0.0000          0.9198
   162    -3223.717437    -3277.090716         -0.0065          0.0000          0.9198
   163    -3223.225939    -3277.090716         -0.0005          0.0000          0.9198
   164    -3223.038460    -3277.090716          0.0180          0.0003          0.9201
   165    -3222.735102    -3277.090716         -0.0111          0.0001          0.9202
   166    -3222.715332    -3277.090716         -0.0086          0.0001          0.9203
   167    -3222.569082    -3277.090716          0.0033          0.0000          0.9203
   168    -3222.246277    -3277.090716          0.0060          0.0000          0.9203
   169    -3222.171311    -3277.090716          0.0075          0.0001          0.9204
   170    -3221.339185    -3277.090716         -0.0133          0.0002          0.9206
   171    -3221.023633    -3277.090716         -0.0042          0.0000          0.9206
   172    -3220.852705    -3277.090716          0.0144          0.0002          0.9208
   173    -3220.780396    -3277.090716          0.0029          0.0000          0.9208
   174    -3220.654694    -3277.090716          0.0136          0.0002          0.9210
   175    -3220.264318    -3277.090716          0.0083          0.0001          0.9211
   176    -3219.665744    -3277.090716          0.0061          0.0000          0.9211
   177    -3219.402593    -3277.090716          0.0035          0.0000          0.9211
   178    -3219.266171    -3277.090716          0.0086          0.0001          0.9212
   179    -3219.206075    -3277.090716          0.0026          0.0000          0.9212
   180    -3217.819135    -3277.090716          0.0049          0.0000          0.9212
   181    -3217.776853    -3277.090716          0.0036          0.0000          0.9212
   182    -3217.004420    -3277.090716         -0.0117          0.0001          0.9213
   183    -3216.248665    -3277.090716         -0.0052          0.0000          0.9213
   184    -3213.003471    -3277.090716          0.0260          0.0007          0.9220
   185    -3212.434769    -3277.090716         -0.0149          0.0002          0.9222
   186    -3212.166989    -3277.090716         -0.0184          0.0003          0.9225
   187    -3211.802261    -3277.090716         -0.0083          0.0001          0.9226
   188    -3211.720874    -3277.090716          0.0043          0.0000          0.9226
   189    -3211.563369    -3277.090716          0.0005          0.0000          0.9226
   190    -3211.274707    -3277.090716         -0.0113          0.0001          0.9227
   191    -3211.094547    -3277.090716          0.0005          0.0000          0.9227
   192    -3210.885771    -3277.090716         -0.0153          0.0002          0.9229
   193    -3210.578471    -3277.090716          0.0200          0.0004          0.9233
   194    -3210.404834    -3277.090716         -0.0011          0.0000          0.9233
   195    -3209.791470    -3277.090716          0.0094          0.0001          0.9234
   196    -3208.797908    -3277.090716          0.0038          0.0000          0.9234
   197    -3208.690027    -3277.090716         -0.0763          0.0058          0.9292
   198    -3208.198740    -3277.090716          0.0456          0.0021          0.9313
   199    -3207.975306    -3277.090716         -0.0395          0.0016          0.9329
   200    -3203.176909    -3277.090716          0.0437          0.0019          0.9348
