 Index           refE        overlap  overlap-squared            Total
   124   -3235.618254         0.0015           0.0000           0.9126
   125   -3235.388333         0.0024           0.0000           0.9126
   126   -3234.836173         0.0250           0.0006           0.9132
   127   -3234.303853         0.0082           0.0001           0.9133
   128   -3234.269794         0.0061           0.0000           0.9133
   129   -3234.263268        -0.0095           0.0001           0.9134
   130   -3233.924075        -0.0052           0.0000           0.9134
   131   -3233.857978        -0.0008           0.0000           0.9134
   132   -3233.722968         0.0059           0.0000           0.9135
   133   -3233.561159         0.0085           0.0001           0.9136
   134   -3233.405649         0.0024           0.0000           0.9136
   135   -3233.317540         0.0045           0.0000           0.9136
   136   -3233.204574         0.0017           0.0000           0.9136
   137   -3233.020975        -0.0038           0.0000           0.9136
   138   -3232.805494         0.0027           0.0000           0.9136
   139   -3232.529717         0.0031           0.0000           0.9136
   140   -3231.395595        -0.0210           0.0004           0.9141
   141   -3230.770662        -0.0018           0.0000           0.9141
   142   -3230.658147         0.0003           0.0000           0.9141
   143   -3230.256490        -0.0058           0.0000           0.9141
   144   -3230.159246        -0.0011           0.0000           0.9141
   145   -3229.711807         0.0042           0.0000           0.9141
   146   -3228.915750         0.0165           0.0003           0.9144
   147   -3228.362164         0.0008           0.0000           0.9144
   148   -3228.359042        -0.0006           0.0000           0.9144
   149   -3228.243207         0.0009           0.0000           0.9144
   150   -3227.363642         0.0006           0.0000           0.9144
   151   -3227.182521        -0.0143           0.0002           0.9146
   152   -3226.785594         0.0173           0.0003           0.9149
   153   -3226.708643        -0.0046           0.0000           0.9149
   154   -3226.609391        -0.0104           0.0001           0.9150
   155   -3225.307675        -0.0087           0.0001           0.9151
   156   -3224.913414         0.0027           0.0000           0.9151
   157   -3224.785865        -0.0020           0.0000           0.9151
   158   -3224.567343        -0.0017           0.0000           0.9151
   159   -3224.409340        -0.0031           0.0000           0.9151
   160   -3224.325840         0.0006           0.0000           0.9151
   161   -3224.275836        -0.0041           0.0000           0.9151
   162   -3223.717437         0.0035           0.0000           0.9151
   163   -3223.225939         0.0041           0.0000           0.9152
   164   -3223.038460        -0.0567           0.0032           0.9184
   165   -3222.735102        -0.0097           0.0001           0.9185
   166   -3222.715332         0.0299           0.0009           0.9194
   167   -3222.569082        -0.0004           0.0000           0.9194
   168   -3222.246277         0.0051           0.0000           0.9194
   169   -3222.171311         0.0096           0.0001           0.9195
   170   -3221.339185         0.0062           0.0000           0.9195
   171   -3221.023633         0.0007           0.0000           0.9195
   172   -3220.852705         0.0248           0.0006           0.9201
   173   -3220.780396         0.0007           0.0000           0.9201
   174   -3220.654694         0.0197           0.0004           0.9205
   175   -3220.264318         0.0108           0.0001           0.9206
   176   -3219.665744        -0.0018           0.0000           0.9206
   177   -3219.402593        -0.0049           0.0000           0.9207
   178   -3219.266171        -0.0019           0.0000           0.9207
   179   -3219.206075        -0.0007           0.0000           0.9207
   180   -3217.819135        -0.0010           0.0000           0.9207
   181   -3217.776853        -0.0008           0.0000           0.9207
   182   -3217.004420         0.0019           0.0000           0.9207
   183   -3216.248665         0.0036           0.0000           0.9207
   184   -3213.003471        -0.0050           0.0000           0.9207
   185   -3212.434769         0.0026           0.0000           0.9207
   186   -3212.166989         0.0035           0.0000           0.9207
   187   -3211.802261         0.0017           0.0000           0.9207
   188   -3211.720874        -0.0006           0.0000           0.9207
   189   -3211.563369        -0.0004           0.0000           0.9207
   190   -3211.274707         0.0023           0.0000           0.9207
   191   -3211.094547        -0.0001           0.0000           0.9207
   192   -3210.885771         0.0036           0.0000           0.9208
   193   -3210.578471        -0.0052           0.0000           0.9208
   194   -3210.404834        -0.0004           0.0000           0.9208
   195   -3209.791470        -0.0022           0.0000           0.9208
   196   -3208.797908         0.0004           0.0000           0.9208
   197   -3208.690027         0.0166           0.0003           0.9211
   198   -3208.198740        -0.0093           0.0001           0.9212
   199   -3207.975306         0.0063           0.0000           0.9212
   200   -3203.176909         0.0023           0.0000           0.9212
   201   -3200.765903         0.0019           0.0000           0.9212
   202   -3200.644256         0.0019           0.0000           0.9212
   203   -3200.415760         0.0006           0.0000           0.9212
   204   -3200.317622        -0.0010           0.0000           0.9212
   205   -3200.244930         0.0002           0.0000           0.9212
   206   -3200.104600        -0.0007           0.0000           0.9212
   207   -3199.934172        -0.0003           0.0000           0.9212
   208   -3199.679816        -0.0004           0.0000           0.9212
   209   -3199.410834         0.0008           0.0000           0.9212
   210   -3199.182624         0.0020           0.0000           0.9212
   211   -3199.046685        -0.0015           0.0000           0.9212
   212   -3198.219223         0.0018           0.0000           0.9212
   213   -3197.838861         0.0008           0.0000           0.9212
   214   -3197.821772        -0.0004           0.0000           0.9212
   215   -3197.278053        -0.0003           0.0000           0.9212
   216   -3197.244629        -0.0038           0.0000           0.9212
   217   -3197.170255        -0.0003           0.0000           0.9212
   218   -3196.876214        -0.0120           0.0001           0.9214
   219   -3196.864923        -0.0007           0.0000           0.9214
   220   -3196.800805        -0.0039           0.0000           0.9214
   221   -3196.798346        -0.0060           0.0000           0.9214
   222   -3196.725918         0.0014           0.0000           0.9214
   223   -3196.712086        -0.0101           0.0001           0.9215
   224   -3196.597733         0.0109           0.0001           0.9217
   225   -3196.582801        -0.0013           0.0000           0.9217
   226   -3196.576864         0.0084           0.0001           0.9217
   227   -3196.514246        -0.0019           0.0000           0.9217
   228   -3196.482838        -0.0016           0.0000           0.9217
   229   -3196.469204        -0.0038           0.0000           0.9217
   230   -3196.460955        -0.0023           0.0000           0.9218
   231   -3196.422005        -0.0001           0.0000           0.9218
   232   -3196.418275         0.0003           0.0000           0.9218
   233   -3196.390355         0.0017           0.0000           0.9218
   234   -3196.285607         0.0255           0.0006           0.9224
   235   -3196.239417         0.0029           0.0000           0.9224
   236   -3196.211175        -0.0004           0.0000           0.9224
   237   -3196.177057        -0.0030           0.0000           0.9224
   238   -3195.984033        -0.0049           0.0000           0.9224
   239   -3195.958530        -0.0001           0.0000           0.9224
   240   -3195.912291         0.0002           0.0000           0.9224
   241   -3195.875266         0.0009           0.0000           0.9224
   242   -3195.871570         0.0017           0.0000           0.9225
   243   -3195.834388         0.0096           0.0001           0.9225
   244   -3195.678953         0.0024           0.0000           0.9226
   245   -3195.669463         0.0008           0.0000           0.9226
   246   -3195.649287        -0.0005           0.0000           0.9226
   247   -3195.642006         0.0019           0.0000           0.9226
   248   -3195.488911         0.0023           0.0000           0.9226
   249   -3195.486244         0.0090           0.0001           0.9226
   250   -3195.267440        -0.0023           0.0000           0.9226
   251   -3195.106811        -0.0011           0.0000           0.9226
   252   -3194.729980        -0.0025           0.0000           0.9227
   253   -3194.719621         0.0048           0.0000           0.9227
   254   -3194.365695         0.0005           0.0000           0.9227
   255   -3193.087217         0.0054           0.0000           0.9227
   256   -3192.962010         0.0025           0.0000           0.9227
   257   -3192.908371         0.0093           0.0001           0.9228
   258   -3192.635464        -0.0004           0.0000           0.9228
   259   -3192.383693        -0.0020           0.0000           0.9228
   260   -3192.375966         0.0004           0.0000           0.9228
   261   -3192.226550         0.0007           0.0000           0.9228
   262   -3191.517348         0.0038           0.0000           0.9228
   263   -3191.442370         0.0108           0.0001           0.9229
   264   -3191.432991        -0.0083           0.0001           0.9230
   265   -3191.308214         0.0135           0.0002           0.9232
   266   -3191.283571        -0.0074           0.0001           0.9232
   267   -3191.230997        -0.0027           0.0000           0.9233
   268   -3191.229085        -0.0251           0.0006           0.9239
   269   -3191.209067        -0.0008           0.0000           0.9239
   270   -3191.116000         0.0025           0.0000           0.9239
   271   -3191.054510         0.0024           0.0000           0.9239
   272   -3191.047174        -0.0023           0.0000           0.9239
   273   -3190.939051        -0.0005           0.0000           0.9239
   274   -3190.781267         0.0005           0.0000           0.9239
   275   -3190.524787        -0.0004           0.0000           0.9239
   276   -3190.473113         0.0008           0.0000           0.9239
   277   -3190.443689         0.0030           0.0000           0.9239
   278   -3190.261035        -0.0008           0.0000           0.9239
   279   -3190.115999        -0.0061           0.0000           0.9239
   280   -3190.055117         0.0160           0.0003           0.9242
   281   -3189.964684        -0.0093           0.0001           0.9243
   282   -3189.696819        -0.0014           0.0000           0.9243
   283   -3189.413089        -0.0053           0.0000           0.9243
   284   -3189.129779        -0.0099           0.0001           0.9244
   285   -3188.675582         0.0273           0.0007           0.9252
   286   -3188.664485        -0.0094           0.0001           0.9252
   287   -3188.624982         0.0019           0.0000           0.9253
   288   -3188.411160        -0.0014           0.0000           0.9253
   289   -3188.070911        -0.0069           0.0000           0.9253
   290   -3188.055510        -0.0003           0.0000           0.9253
   291   -3188.032289        -0.0053           0.0000           0.9253
   292   -3186.910457        -0.0002           0.0000           0.9253
   293   -3186.752134        -0.0004           0.0000           0.9253
   294   -3185.224996         0.0013           0.0000           0.9253
   295   -3185.156211        -0.0008           0.0000           0.9253
   296   -3184.455221        -0.0001           0.0000           0.9253
   297   -3184.214842        -0.0000           0.0000           0.9253
   298   -3184.096323        -0.0000           0.0000           0.9253
   299   -3184.033037         0.0001           0.0000           0.9253
   300   -3183.919343        -0.0005           0.0000           0.9253
   301   -3183.793592        -0.0003           0.0000           0.9253
   302   -3183.337650         0.0028           0.0000           0.9253
   303   -3182.902122         0.0016           0.0000           0.9253
   304   -3182.748098        -0.0011           0.0000           0.9253
   305   -3182.626656        -0.0009           0.0000           0.9253
   306   -3182.521992         0.0009           0.0000           0.9253
   307   -3182.489571        -0.0024           0.0000           0.9253
   308   -3182.314520         0.0002           0.0000           0.9253
   309   -3182.141605        -0.0029           0.0000           0.9254
   310   -3182.001891         0.0004           0.0000           0.9254
   311   -3181.993256         0.0001           0.0000           0.9254
   312   -3181.884072        -0.0019           0.0000           0.9254
   313   -3181.876722        -0.0010           0.0000           0.9254
   314   -3181.649324         0.0133           0.0002           0.9255
   315   -3181.514495         0.0010           0.0000           0.9255
   316   -3181.382397         0.0004           0.0000           0.9255
   317   -3181.257364        -0.0029           0.0000           0.9255
   318   -3181.054438         0.0007           0.0000           0.9255
   319   -3180.977491        -0.0064           0.0000           0.9256
   320   -3180.815497        -0.0020           0.0000           0.9256
   321   -3180.738696        -0.0016           0.0000           0.9256
   322   -3180.641757        -0.0132           0.0002           0.9258
   323   -3180.636562        -0.0059           0.0000           0.9258
   324   -3180.628049         0.0023           0.0000           0.9258
   325   -3180.500260         0.0109           0.0001           0.9259
   326   -3180.416778         0.0023           0.0000           0.9259
   327   -3180.177431         0.0038           0.0000           0.9259
   328   -3180.081220         0.0012           0.0000           0.9259
   329   -3179.871631        -0.0004           0.0000           0.9259
   330   -3179.635963         0.0022           0.0000           0.9260
   331   -3179.471946        -0.0026           0.0000           0.9260
   332   -3179.464469        -0.0043           0.0000           0.9260
   333   -3179.387655         0.0008           0.0000           0.9260
   334   -3179.360100        -0.0010           0.0000           0.9260
   335   -3178.908409        -0.0028           0.0000           0.9260
   336   -3178.897612        -0.0010           0.0000           0.9260
   337   -3178.221077         0.0028           0.0000           0.9260
   338   -3177.938720        -0.0008           0.0000           0.9260
   339   -3177.664082         0.0005           0.0000           0.9260
   340   -3177.608428        -0.0084           0.0001           0.9261
   341   -3177.516529         0.0216           0.0005           0.9265
   342   -3176.673705         0.0147           0.0002           0.9268
   343   -3176.616722         0.0043           0.0000           0.9268
   344   -3176.615426         0.0080           0.0001           0.9268
   345   -3176.588908        -0.0215           0.0005           0.9273
   346   -3176.499265        -0.0018           0.0000           0.9273
   347   -3176.250229        -0.0012           0.0000           0.9273
   348   -3175.974112        -0.0050           0.0000           0.9273
   349   -3175.933426        -0.0021           0.0000           0.9273
   350   -3175.793441         0.0019           0.0000           0.9273
   351   -3175.687269         0.0002           0.0000           0.9273
   352   -3175.662630        -0.0000           0.0000           0.9273
   353   -3175.389883         0.0000           0.0000           0.9273
   354   -3175.021192         0.0008           0.0000           0.9273
   355   -3174.927260         0.0024           0.0000           0.9273
   356   -3174.511329        -0.0006           0.0000           0.9273
   357   -3174.445646         0.0003           0.0000           0.9273
   358   -3173.751608         0.0003           0.0000           0.9273
   359   -3173.744568         0.0006           0.0000           0.9273
   360   -3170.899448        -0.0004           0.0000           0.9273
   361   -3170.851838        -0.0046           0.0000           0.9274
   362   -3170.813599        -0.0002           0.0000           0.9274
   363   -3170.770447         0.0002           0.0000           0.9274
   364   -3170.669688         0.0045           0.0000           0.9274
   365   -3169.953159         0.0022           0.0000           0.9274
   366   -3169.714965         0.0067           0.0000           0.9274
   367   -3169.520378         0.0017           0.0000           0.9274
   368   -3169.512623        -0.0007           0.0000           0.9274
   369   -3169.479824        -0.0015           0.0000           0.9274
   370   -3169.323844         0.0018           0.0000           0.9274
   371   -3169.256367        -0.0003           0.0000           0.9274
   372   -3169.243560         0.0043           0.0000           0.9275
   373   -3169.139801        -0.0031           0.0000           0.9275
   374   -3169.004931        -0.0064           0.0000           0.9275
   375   -3168.913872         0.0005           0.0000           0.9275
   376   -3168.882491        -0.0017           0.0000           0.9275
   377   -3168.768558        -0.0011           0.0000           0.9275
   378   -3168.754470        -0.0026           0.0000           0.9275
   379   -3168.700269         0.0003           0.0000           0.9275
   380   -3168.577009         0.0005           0.0000           0.9275
   381   -3168.486326         0.0008           0.0000           0.9275
   382   -3168.450963        -0.0018           0.0000           0.9275
   383   -3168.269626         0.0001           0.0000           0.9275
   384   -3168.251410         0.0004           0.0000           0.9275
   385   -3168.194106         0.0008           0.0000           0.9275
   386   -3168.181604        -0.0008           0.0000           0.9275
   387   -3167.984867        -0.0007           0.0000           0.9275
   388   -3167.981814         0.0006           0.0000           0.9275
   389   -3167.965166         0.0008           0.0000           0.9275
   390   -3167.890547        -0.0027           0.0000           0.9275
   391   -3167.860121         0.0002           0.0000           0.9275
   392   -3167.804441        -0.0003           0.0000           0.9275
   393   -3167.706026        -0.0001           0.0000           0.9275
   394   -3167.603318         0.0008           0.0000           0.9275
   395   -3167.560156        -0.0029           0.0000           0.9275
   396   -3167.139678        -0.0008           0.0000           0.9275
   397   -3167.102832         0.0017           0.0000           0.9275
   398   -3167.017701        -0.0077           0.0001           0.9276
   399   -3166.943585         0.0023           0.0000           0.9276
   400   -3166.740468        -0.0091           0.0001           0.9277
   401   -3166.681689        -0.0084           0.0001           0.9278
   402   -3165.163291         0.0005           0.0000           0.9278
   403   -3165.041851         0.0003           0.0000           0.9278
   404   -3165.030153         0.0007           0.0000           0.9278
   405   -3164.808354        -0.0009           0.0000           0.9278
   406   -3164.703746         0.0004           0.0000           0.9278
   407   -3164.468227        -0.0085           0.0001           0.9278
   408   -3163.897586         0.0019           0.0000           0.9278
   409   -3163.772766        -0.0000           0.0000           0.9278
   410   -3163.185070         0.0020           0.0000           0.9278
   411   -3162.803497        -0.0003           0.0000           0.9278
   412   -3162.802287         0.0021           0.0000           0.9279
   413   -3162.527485         0.0013           0.0000           0.9279
   414   -3162.456163         0.0111           0.0001           0.9280
   415   -3162.146585        -0.0002           0.0000           0.9280
   416   -3162.013011         0.0014           0.0000           0.9280
   417   -3161.928082         0.0006           0.0000           0.9280
   418   -3161.892263         0.0074           0.0001           0.9280
   419   -3161.413199         0.0002           0.0000           0.9280
   420   -3161.393620        -0.0041           0.0000           0.9280
   421   -3161.286232         0.0013           0.0000           0.9281
   422   -3161.251538         0.0057           0.0000           0.9281
   423   -3160.841190         0.0030           0.0000           0.9281
   424   -3160.599002        -0.0004           0.0000           0.9281
   425   -3160.519917        -0.0002           0.0000           0.9281
   426   -3160.473738         0.0008           0.0000           0.9281
   427   -3160.451708        -0.0012           0.0000           0.9281
   428   -3160.423031        -0.0017           0.0000           0.9281
   429   -3160.387435         0.0018           0.0000           0.9281
   430   -3160.306547        -0.0019           0.0000           0.9281
   431   -3160.289746        -0.0053           0.0000           0.9281
   432   -3160.243490         0.0004           0.0000           0.9281
   433   -3160.222556         0.0006           0.0000           0.9281
   434   -3160.220768         0.0017           0.0000           0.9281
   435   -3160.043055        -0.0014           0.0000           0.9281
   436   -3159.609708         0.0036           0.0000           0.9282
   437   -3159.560770        -0.0112           0.0001           0.9283
   438   -3159.547370        -0.0003           0.0000           0.9283
   439   -3159.512815         0.0007           0.0000           0.9283
   440   -3159.365677         0.0034           0.0000           0.9283
   441   -3159.149187        -0.0020           0.0000           0.9283
   442   -3159.053994         0.0051           0.0000           0.9283
   443   -3159.017445         0.0009           0.0000           0.9283
   444   -3158.914336        -0.0039           0.0000           0.9283
   445   -3158.581120        -0.0022           0.0000           0.9283
   446   -3158.577558        -0.0004           0.0000           0.9283
   447   -3158.453513         0.0001           0.0000           0.9283
   448   -3157.946035        -0.0044           0.0000           0.9284
   449   -3157.907166        -0.0024           0.0000           0.9284
   450   -3157.877518         0.0031           0.0000           0.9284
   451   -3157.798869        -0.0003           0.0000           0.9284
   452   -3157.545918         0.0023           0.0000           0.9284
   453   -3157.471155         0.0002           0.0000           0.9284
   454   -3157.322029        -0.0001           0.0000           0.9284
   455   -3157.310885         0.0000           0.0000           0.9284
   456   -3157.258237        -0.0023           0.0000           0.9284
   457   -3157.141633        -0.0065           0.0000           0.9284
   458   -3157.026832         0.0009           0.0000           0.9284
   459   -3156.980763        -0.0081           0.0001           0.9285
   460   -3156.956436         0.0001           0.0000           0.9285
   461   -3156.791529         0.0001           0.0000           0.9285
   462   -3156.724221         0.0008           0.0000           0.9285
   463   -3156.722348        -0.0000           0.0000           0.9285
   464   -3156.720337         0.0017           0.0000           0.9285
   465   -3156.580041        -0.0001           0.0000           0.9285
   466   -3156.288403         0.0002           0.0000           0.9285
   467   -3155.994391        -0.0005           0.0000           0.9285
   468   -3155.642311         0.0025           0.0000           0.9285
   469   -3155.376309        -0.0035           0.0000           0.9285
   470   -3155.351241        -0.0012           0.0000           0.9285
   471   -3155.230776        -0.0009           0.0000           0.9285
   472   -3155.209100        -0.0269           0.0007           0.9292
   473   -3155.143118         0.0025           0.0000           0.9292
   474   -3154.876738         0.0008           0.0000           0.9292
   475   -3154.746423        -0.0020           0.0000           0.9292
   476   -3154.706888        -0.0008           0.0000           0.9293
   477   -3154.141524        -0.0011           0.0000           0.9293
   478   -3153.080045        -0.0003           0.0000           0.9293
   479   -3152.387034        -0.0079           0.0001           0.9293
   480   -3152.265691         0.0007           0.0000           0.9293
