 Index           refE        overlap  overlap-squared            Total
   546   -3141.552833         0.0002           0.0000           0.9294
   547   -3141.350078         0.0004           0.0000           0.9294
   548   -3141.269733         0.0003           0.0000           0.9294
   549   -3140.362574         0.0007           0.0000           0.9294
   550   -3140.299867        -0.0008           0.0000           0.9294
   551   -3140.179398         0.0011           0.0000           0.9294
   552   -3140.033827         0.0002           0.0000           0.9294
   553   -3140.014131        -0.0007           0.0000           0.9294
   554   -3139.860700        -0.0103           0.0001           0.9296
   555   -3139.785412         0.0061           0.0000           0.9296
   556   -3139.755077         0.0022           0.0000           0.9296
   557   -3139.736787         0.0030           0.0000           0.9296
   558   -3139.706823         0.0051           0.0000           0.9296
   559   -3139.595664         0.0012           0.0000           0.9296
   560   -3139.566034        -0.0115           0.0001           0.9298
   561   -3139.456690        -0.0001           0.0000           0.9298
   562   -3139.088930        -0.0002           0.0000           0.9298
   563   -3138.928869        -0.0035           0.0000           0.9298
   564   -3138.822611        -0.0112           0.0001           0.9299
   565   -3138.773466         0.0048           0.0000           0.9299
   566   -3138.641203        -0.0007           0.0000           0.9299
   567   -3138.504230        -0.0001           0.0000           0.9299
   568   -3138.426205        -0.0021           0.0000           0.9299
   569   -3138.193501        -0.0032           0.0000           0.9299
   570   -3138.107639         0.0022           0.0000           0.9299
   571   -3138.063746         0.0018           0.0000           0.9299
   572   -3137.967755         0.0002           0.0000           0.9299
   573   -3137.753398         0.0039           0.0000           0.9300
   574   -3137.138516        -0.0056           0.0000           0.9300
   575   -3137.089505         0.0224           0.0005           0.9305
   576   -3137.074871        -0.0073           0.0001           0.9305
   577   -3136.991094        -0.0005           0.0000           0.9305
   578   -3136.988047        -0.0027           0.0000           0.9306
   579   -3136.968930         0.0003           0.0000           0.9306
   580   -3136.873251         0.0063           0.0000           0.9306
   581   -3136.772782        -0.0112           0.0001           0.9307
   582   -3136.705444        -0.0114           0.0001           0.9309
   583   -3136.669850        -0.0051           0.0000           0.9309
   584   -3136.254328         0.0113           0.0001           0.9310
   585   -3136.194003        -0.0086           0.0001           0.9311
   586   -3136.150002         0.0433           0.0019           0.9330
   587   -3136.138614         0.0235           0.0006           0.9335
   588   -3135.940117        -0.0065           0.0000           0.9336
   589   -3135.936696         0.0057           0.0000           0.9336
   590   -3135.715017         0.0004           0.0000           0.9336
   591   -3135.712580         0.0009           0.0000           0.9336
   592   -3135.667753        -0.0021           0.0000           0.9336
   593   -3135.515085        -0.0000           0.0000           0.9336
   594   -3135.179505        -0.0008           0.0000           0.9336
   595   -3135.110257        -0.0017           0.0000           0.9336
   596   -3135.021777        -0.0026           0.0000           0.9336
   597   -3134.966218        -0.0001           0.0000           0.9336
   598   -3134.693802        -0.0001           0.0000           0.9336
   599   -3134.568808        -0.0000           0.0000           0.9336
   600   -3134.470947         0.0019           0.0000           0.9336
   601   -3134.282644         0.0003           0.0000           0.9336
   602   -3134.164205         0.0033           0.0000           0.9336
   603   -3133.998648         0.0003           0.0000           0.9336
   604   -3133.920247         0.0004           0.0000           0.9336
   605   -3133.448140         0.0005           0.0000           0.9336
   606   -3133.377080         0.0001           0.0000           0.9336
   607   -3133.348191        -0.0103           0.0001           0.9337
   608   -3133.315399         0.0015           0.0000           0.9337
   609   -3133.294772         0.0003           0.0000           0.9337
   610   -3133.215209        -0.0004           0.0000           0.9337
   611   -3133.098774        -0.0001           0.0000           0.9337
   612   -3133.052380        -0.0002           0.0000           0.9337
   613   -3132.998343         0.0015           0.0000           0.9337
   614   -3132.938832         0.0013           0.0000           0.9337
   615   -3132.934593        -0.0011           0.0000           0.9337
   616   -3132.890723        -0.0002           0.0000           0.9337
   617   -3132.856291        -0.0002           0.0000           0.9337
   618   -3132.856013         0.0001           0.0000           0.9337
   619   -3132.808231        -0.0002           0.0000           0.9337
   620   -3132.735376         0.0008           0.0000           0.9337
   621   -3132.682484        -0.0016           0.0000           0.9337
   622   -3132.614150        -0.0009           0.0000           0.9337
   623   -3132.526526         0.0027           0.0000           0.9337
   624   -3132.426058        -0.0011           0.0000           0.9337
   625   -3132.422151        -0.0029           0.0000           0.9337
   626   -3132.265435        -0.0058           0.0000           0.9338
   627   -3132.229039         0.0002           0.0000           0.9338
   628   -3132.177351        -0.0001           0.0000           0.9338
   629   -3132.152567        -0.0052           0.0000           0.9338
   630   -3132.115054         0.0215           0.0005           0.9343
   631   -3131.865519         0.0044           0.0000           0.9343
   632   -3131.814802        -0.0039           0.0000           0.9343
   633   -3131.799945         0.0032           0.0000           0.9343
   634   -3131.769519         0.0332           0.0011           0.9354
   635   -3131.739535        -0.0007           0.0000           0.9354
   636   -3131.644527         0.0025           0.0000           0.9354
   637   -3131.534521        -0.0024           0.0000           0.9354
   638   -3131.529510         0.0065           0.0000           0.9355
   639   -3131.375102        -0.0003           0.0000           0.9355
   640   -3131.188342        -0.0006           0.0000           0.9355
   641   -3131.075667        -0.0005           0.0000           0.9355
   642   -3131.074724        -0.0026           0.0000           0.9355
   643   -3131.005575        -0.0014           0.0000           0.9355
   644   -3130.933694         0.0036           0.0000           0.9355
   645   -3130.716075        -0.0033           0.0000           0.9355
   646   -3130.712861         0.0003           0.0000           0.9355
   647   -3130.697701        -0.0024           0.0000           0.9355
   648   -3130.696796         0.0004           0.0000           0.9355
   649   -3130.647538         0.0027           0.0000           0.9355
   650   -3130.592112        -0.0044           0.0000           0.9355
   651   -3130.369197         0.0032           0.0000           0.9356
   652   -3130.322248         0.0005           0.0000           0.9356
   653   -3130.201414         0.0018           0.0000           0.9356
   654   -3130.049771         0.0004           0.0000           0.9356
   655   -3130.046878         0.0027           0.0000           0.9356
   656   -3130.043157         0.0002           0.0000           0.9356
   657   -3130.041187         0.0028           0.0000           0.9356
   658   -3130.031562        -0.0001           0.0000           0.9356
   659   -3129.961001         0.0030           0.0000           0.9356
   660   -3129.945770         0.0037           0.0000           0.9356
   661   -3129.918323         0.0003           0.0000           0.9356
   662   -3129.879070         0.0002           0.0000           0.9356
   663   -3129.740569         0.0007           0.0000           0.9356
   664   -3129.731440         0.0028           0.0000           0.9356
   665   -3129.631042        -0.0019           0.0000           0.9356
   666   -3129.577208         0.0020           0.0000           0.9356
   667   -3129.558243        -0.0039           0.0000           0.9356
   668   -3129.325085        -0.0008           0.0000           0.9356
   669   -3129.304091        -0.0007           0.0000           0.9356
   670   -3129.272008         0.0007           0.0000           0.9356
   671   -3129.129193         0.0150           0.0002           0.9359
   672   -3129.091060         0.0041           0.0000           0.9359
   673   -3128.960507        -0.0007           0.0000           0.9359
   674   -3128.905981        -0.0002           0.0000           0.9359
   675   -3128.904933        -0.0001           0.0000           0.9359
   676   -3128.786656        -0.0001           0.0000           0.9359
   677   -3128.578862        -0.0000           0.0000           0.9359
   678   -3128.576875        -0.0001           0.0000           0.9359
   679   -3128.322107        -0.0001           0.0000           0.9359
   680   -3128.262465        -0.0014           0.0000           0.9359
   681   -3128.254089        -0.0005           0.0000           0.9359
   682   -3128.111587        -0.0003           0.0000           0.9359
   683   -3128.111006         0.0038           0.0000           0.9359
   684   -3128.080360        -0.0000           0.0000           0.9359
   685   -3128.041753        -0.0001           0.0000           0.9359
   686   -3128.040207         0.0004           0.0000           0.9359
   687   -3128.006272         0.0008           0.0000           0.9359
   688   -3127.978606        -0.0004           0.0000           0.9359
   689   -3127.972799        -0.0003           0.0000           0.9359
   690   -3127.963625         0.0001           0.0000           0.9359
   691   -3127.955975        -0.0001           0.0000           0.9359
   692   -3127.931373         0.0004           0.0000           0.9359
   693   -3127.845073         0.0001           0.0000           0.9359
   694   -3127.772554         0.0005           0.0000           0.9359
   695   -3127.630782         0.0011           0.0000           0.9359
   696   -3127.546090        -0.0001           0.0000           0.9359
   697   -3127.537132        -0.0007           0.0000           0.9359
   698   -3127.476985         0.0001           0.0000           0.9359
   699   -3127.390821        -0.0018           0.0000           0.9359
   700   -3127.353641         0.0000           0.0000           0.9359
   701   -3127.304446         0.0001           0.0000           0.9359
   702   -3127.243873        -0.0000           0.0000           0.9359
   703   -3127.176866         0.0001           0.0000           0.9359
   704   -3127.159721         0.0031           0.0000           0.9359
   705   -3127.131367         0.0030           0.0000           0.9359
   706   -3127.115728         0.0045           0.0000           0.9359
   707   -3126.942217         0.0005           0.0000           0.9359
   708   -3126.923680         0.0014           0.0000           0.9359
   709   -3126.914445        -0.0012           0.0000           0.9359
   710   -3126.906925         0.0009           0.0000           0.9359
   711   -3126.889952         0.0016           0.0000           0.9359
   712   -3126.766689        -0.0011           0.0000           0.9359
   713   -3126.706176         0.0091           0.0001           0.9360
   714   -3126.605180        -0.0008           0.0000           0.9360
   715   -3126.267742        -0.0002           0.0000           0.9360
   716   -3126.110022         0.0004           0.0000           0.9360
   717   -3125.872338         0.0001           0.0000           0.9360
   718   -3125.866920        -0.0016           0.0000           0.9360
   719   -3125.846360         0.0000           0.0000           0.9360
   720   -3125.791897         0.0001           0.0000           0.9360
   721   -3125.782382         0.0001           0.0000           0.9360
   722   -3125.721875         0.0002           0.0000           0.9360
   723   -3125.681298        -0.0001           0.0000           0.9360
   724   -3125.566504         0.0046           0.0000           0.9360
   725   -3125.523935         0.0009           0.0000           0.9360
   726   -3125.486216        -0.0007           0.0000           0.9360
   727   -3125.394256         0.0000           0.0000           0.9360
   728   -3125.195436        -0.0006           0.0000           0.9360
   729   -3125.065259        -0.0005           0.0000           0.9360
   730   -3125.062896        -0.0001           0.0000           0.9360
   731   -3124.932054         0.0001           0.0000           0.9360
   732   -3124.755424         0.0009           0.0000           0.9360
   733   -3124.636659         0.0003           0.0000           0.9360
   734   -3124.476285        -0.0008           0.0000           0.9361
   735   -3124.421992        -0.0000           0.0000           0.9361
   736   -3123.103896         0.0004           0.0000           0.9361
   737   -3122.908689         0.0008           0.0000           0.9361
   738   -3122.809839         0.0005           0.0000           0.9361
   739   -3122.646833        -0.0004           0.0000           0.9361
   740   -3122.632463        -0.0001           0.0000           0.9361
   741   -3122.448320        -0.0050           0.0000           0.9361
   742   -3122.278316        -0.0012           0.0000           0.9361
   743   -3122.027398        -0.0006           0.0000           0.9361
   744   -3121.946395        -0.0006           0.0000           0.9361
   745   -3121.481915        -0.0016           0.0000           0.9361
   746   -3121.240686         0.0028           0.0000           0.9361
   747   -3121.073126        -0.0003           0.0000           0.9361
   748   -3121.052056        -0.0002           0.0000           0.9361
   749   -3121.000093         0.0002           0.0000           0.9361
   750   -3120.965476        -0.0003           0.0000           0.9361
   751   -3120.910218        -0.0004           0.0000           0.9361
   752   -3120.713121        -0.0002           0.0000           0.9361
   753   -3120.555956         0.0000           0.0000           0.9361
   754   -3120.430165        -0.0000           0.0000           0.9361
   755   -3120.416095         0.0014           0.0000           0.9361
   756   -3120.400959        -0.0009           0.0000           0.9361
   757   -3120.395295         0.0012           0.0000           0.9361
   758   -3120.206044        -0.0015           0.0000           0.9361
   759   -3120.109743         0.0002           0.0000           0.9361
   760   -3120.008731        -0.0005           0.0000           0.9361
   761   -3119.826209        -0.0025           0.0000           0.9361
   762   -3119.792136         0.0001           0.0000           0.9361
   763   -3119.774989        -0.0001           0.0000           0.9361
   764   -3119.746160        -0.0002           0.0000           0.9361
   765   -3119.631421         0.0001           0.0000           0.9361
   766   -3119.570529         0.0003           0.0000           0.9361
   767   -3119.569664        -0.0001           0.0000           0.9361
   768   -3119.419884         0.0003           0.0000           0.9361
   769   -3119.327452        -0.0003           0.0000           0.9361
   770   -3119.327320         0.0003           0.0000           0.9361
   771   -3119.305925        -0.0000           0.0000           0.9361
   772   -3119.293426         0.0001           0.0000           0.9361
   773   -3119.226054         0.0000           0.0000           0.9361
   774   -3119.172331        -0.0000           0.0000           0.9361
   775   -3119.154003        -0.0002           0.0000           0.9361
   776   -3119.131118        -0.0000           0.0000           0.9361
   777   -3119.127689        -0.0000           0.0000           0.9361
   778   -3119.033149        -0.0002           0.0000           0.9361
   779   -3119.026324         0.0002           0.0000           0.9361
   780   -3118.954904         0.0000           0.0000           0.9361
   781   -3118.855504        -0.0001           0.0000           0.9361
   782   -3118.853826        -0.0000           0.0000           0.9361
   783   -3118.816063        -0.0000           0.0000           0.9361
   784   -3118.737456         0.0000           0.0000           0.9361
   785   -3118.568479         0.0000           0.0000           0.9361
   786   -3118.455113        -0.0001           0.0000           0.9361
   787   -3118.421199         0.0000           0.0000           0.9361
   788   -3118.339812         0.0001           0.0000           0.9361
   789   -3117.976731        -0.0001           0.0000           0.9361
   790   -3117.709531         0.0001           0.0000           0.9361
   791   -3117.476499         0.0000           0.0000           0.9361
   792   -3117.311857         0.0002           0.0000           0.9361
   793   -3117.060429         0.0001           0.0000           0.9361
   794   -3116.918644        -0.0008           0.0000           0.9361
   795   -3116.825006         0.0000           0.0000           0.9361
   796   -3116.776496         0.0005           0.0000           0.9361
   797   -3116.731740         0.0002           0.0000           0.9361
   798   -3116.570950        -0.0006           0.0000           0.9361
   799   -3116.419144         0.0000           0.0000           0.9361
   800   -3116.418706        -0.0001           0.0000           0.9361
   801   -3115.949058        -0.0009           0.0000           0.9361
   802   -3115.705741        -0.0000           0.0000           0.9361
   803   -3115.256349        -0.0001           0.0000           0.9361
   804   -3115.134783         0.0001           0.0000           0.9361
   805   -3115.085357         0.0003           0.0000           0.9361
   806   -3115.066818         0.0003           0.0000           0.9361
   807   -3114.974488        -0.0003           0.0000           0.9361
   808   -3114.962069         0.0003           0.0000           0.9361
   809   -3114.949228         0.0001           0.0000           0.9361
   810   -3114.704063         0.0001           0.0000           0.9361
   811   -3114.702932        -0.0000           0.0000           0.9361
   812   -3114.674462         0.0001           0.0000           0.9361
   813   -3114.672211        -0.0008           0.0000           0.9361
   814   -3114.544405         0.0007           0.0000           0.9361
   815   -3114.234917        -0.0019           0.0000           0.9361
   816   -3114.183635         0.0005           0.0000           0.9361
   817   -3114.099876        -0.0013           0.0000           0.9361
   818   -3114.076802         0.0026           0.0000           0.9361
   819   -3113.760454         0.0003           0.0000           0.9361
   820   -3113.682710         0.0005           0.0000           0.9361
   821   -3113.425560        -0.0048           0.0000           0.9361
   822   -3113.105416        -0.0008           0.0000           0.9361
   823   -3113.086188        -0.0009           0.0000           0.9361
   824   -3113.023132         0.0012           0.0000           0.9361
   825   -3113.002522         0.0074           0.0001           0.9362
   826   -3112.985680         0.0045           0.0000           0.9362
   827   -3112.910527        -0.0008           0.0000           0.9362
   828   -3112.882733         0.0024           0.0000           0.9362
   829   -3112.847209         0.0002           0.0000           0.9362
   830   -3112.762710        -0.0015           0.0000           0.9362
   831   -3112.708862         0.0086           0.0001           0.9363
   832   -3112.688700         0.0084           0.0001           0.9364
   833   -3112.650277        -0.0041           0.0000           0.9364
   834   -3112.621431         0.0020           0.0000           0.9364
   835   -3112.619981        -0.0148           0.0002           0.9366
   836   -3112.552133         0.0062           0.0000           0.9367
   837   -3112.519828        -0.0053           0.0000           0.9367
   838   -3112.428071        -0.0018           0.0000           0.9367
   839   -3112.410711         0.0026           0.0000           0.9367
   840   -3112.384356        -0.0013           0.0000           0.9367
   841   -3112.321546        -0.0050           0.0000           0.9367
   842   -3112.253760         0.0006           0.0000           0.9367
   843   -3112.239186         0.0007           0.0000           0.9367
   844   -3112.214045        -0.0000           0.0000           0.9367
   845   -3112.100490        -0.0120           0.0001           0.9369
   846   -3112.080308         0.0017           0.0000           0.9369
   847   -3112.063543         0.0019           0.0000           0.9369
   848   -3112.036570         0.0021           0.0000           0.9369
   849   -3112.035870        -0.0006           0.0000           0.9369
   850   -3111.895565         0.0002           0.0000           0.9369
   851   -3111.891661        -0.0080           0.0001           0.9369
   852   -3111.859997        -0.0005           0.0000           0.9369
   853   -3111.782365         0.0017           0.0000           0.9369
   854   -3111.749773        -0.0035           0.0000           0.9370
   855   -3111.681782        -0.0001           0.0000           0.9370
   856   -3111.661269         0.0002           0.0000           0.9370
   857   -3111.520457         0.0001           0.0000           0.9370
   858   -3111.501603        -0.0006           0.0000           0.9370
   859   -3111.475345        -0.0005           0.0000           0.9370
   860   -3111.469029        -0.0005           0.0000           0.9370
   861   -3111.447297        -0.0002           0.0000           0.9370
   862   -3111.372200         0.0017           0.0000           0.9370
   863   -3111.353607         0.0001           0.0000           0.9370
   864   -3111.294825        -0.0026           0.0000           0.9370
   865   -3111.280063        -0.0015           0.0000           0.9370
   866   -3111.133379         0.0007           0.0000           0.9370
   867   -3111.090660         0.0006           0.0000           0.9370
   868   -3110.983354         0.0002           0.0000           0.9370
   869   -3110.828890         0.0032           0.0000           0.9370
   870   -3110.708934        -0.0010           0.0000           0.9370
   871   -3110.534626         0.0014           0.0000           0.9370
   872   -3110.478104        -0.0001           0.0000           0.9370
   873   -3110.428799        -0.0013           0.0000           0.9370
   874   -3110.408846        -0.0021           0.0000           0.9370
   875   -3110.397025        -0.0011           0.0000           0.9370
   876   -3110.384857        -0.0001           0.0000           0.9370
   877   -3110.383121        -0.0012           0.0000           0.9370
   878   -3110.368232         0.0030           0.0000           0.9370
   879   -3110.216364         0.0023           0.0000           0.9370
   880   -3110.066804         0.0016           0.0000           0.9370
   881   -3110.027864         0.0007           0.0000           0.9370
   882   -3110.020159        -0.0029           0.0000           0.9370
   883   -3109.909082        -0.0016           0.0000           0.9370
   884   -3109.779629         0.0004           0.0000           0.9370
   885   -3109.582963         0.0006           0.0000           0.9370
   886   -3109.571210        -0.0004           0.0000           0.9370
   887   -3109.523446         0.0006           0.0000           0.9370
   888   -3109.512223         0.0007           0.0000           0.9370
   889   -3109.481023         0.0003           0.0000           0.9370
   890   -3109.355629         0.0004           0.0000           0.9370
   891   -3109.307509         0.0015           0.0000           0.9370
   892   -3109.277070         0.0005           0.0000           0.9370
   893   -3109.261400        -0.0005           0.0000           0.9370
   894   -3109.239313         0.0001           0.0000           0.9370
   895   -3109.175246         0.0000           0.0000           0.9370
   896   -3109.173286        -0.0000           0.0000           0.9370
   897   -3109.144709        -0.0000           0.0000           0.9370
   898   -3108.911437         0.0003           0.0000           0.9370
   899   -3108.848390        -0.0001           0.0000           0.9370
   900   -3108.822503        -0.0006           0.0000           0.9370
   901   -3108.729699        -0.0003           0.0000           0.9370
   902   -3108.705981         0.0001           0.0000           0.9370
   903   -3108.697178         0.0000           0.0000           0.9370
   904   -3108.679929        -0.0004           0.0000           0.9370
   905   -3108.667860        -0.0004           0.0000           0.9370
   906   -3108.442548         0.0004           0.0000           0.9370
   907   -3108.336833         0.0005           0.0000           0.9370
   908   -3108.283103         0.0005           0.0000           0.9370
   909   -3108.115671        -0.0002           0.0000           0.9370
   910   -3107.974614         0.0003           0.0000           0.9370
   911   -3107.737210         0.0003           0.0000           0.9370
   912   -3107.735639        -0.0004           0.0000           0.9370
   913   -3107.342229        -0.0011           0.0000           0.9370
   914   -3107.292666         0.0000           0.0000           0.9370
   915   -3107.191250         0.0003           0.0000           0.9370
   916   -3107.106298         0.0000           0.0000           0.9370
   917   -3107.072178         0.0002           0.0000           0.9370
   918   -3106.747160        -0.0003           0.0000           0.9370
   919   -3106.560463        -0.0001           0.0000           0.9370
   920   -3106.519494        -0.0004           0.0000           0.9370
   921   -3106.506518         0.0007           0.0000           0.9370
   922   -3106.340035        -0.0027           0.0000           0.9370
   923   -3106.295550        -0.0005           0.0000           0.9370
   924   -3106.052080         0.0004           0.0000           0.9370
   925   -3105.968393         0.0032           0.0000           0.9370
   926   -3105.942922        -0.0010           0.0000           0.9370
   927   -3105.535263         0.0020           0.0000           0.9370
   928   -3105.498143        -0.0019           0.0000           0.9370
   929   -3105.328189        -0.0022           0.0000           0.9371
   930   -3105.292651        -0.0031           0.0000           0.9371
   931   -3104.840540        -0.0079           0.0001           0.9371
   932   -3104.194342        -0.0068           0.0000           0.9372
   933   -3104.017162        -0.0017           0.0000           0.9372
   934   -3104.004541         0.0014           0.0000           0.9372
   935   -3103.926818         0.0083           0.0001           0.9372
   936   -3103.809152        -0.0003           0.0000           0.9372
   937   -3103.676644         0.0004           0.0000           0.9372
   938   -3103.607712         0.0009           0.0000           0.9372
   939   -3103.491059        -0.0012           0.0000           0.9372
   940   -3103.452115        -0.0011           0.0000           0.9372
   941   -3103.403760         0.0006           0.0000           0.9372
   942   -3103.381766         0.0003           0.0000           0.9372
   943   -3103.349200        -0.0012           0.0000           0.9373
   944   -3103.308339        -0.0061           0.0000           0.9373
   945   -3103.254705        -0.0005           0.0000           0.9373
   946   -3103.243234        -0.0002           0.0000           0.9373
   947   -3103.238016         0.0005           0.0000           0.9373
   948   -3103.195094         0.0011           0.0000           0.9373
   949   -3103.161275         0.0050           0.0000           0.9373
   950   -3103.049658         0.0064           0.0000           0.9374
   951   -3103.004510        -0.0007           0.0000           0.9374
   952   -3102.907633         0.0025           0.0000           0.9374
   953   -3102.896485         0.0002           0.0000           0.9374
   954   -3102.843027         0.0044           0.0000           0.9374
   955   -3102.825395         0.0002           0.0000           0.9374
   956   -3102.812688         0.0001           0.0000           0.9374
   957   -3102.805788        -0.0001           0.0000           0.9374
   958   -3102.759284         0.0002           0.0000           0.9374
   959   -3102.512931        -0.0003           0.0000           0.9374
   960   -3102.499350        -0.0020           0.0000           0.9374
   961   -3102.463480         0.0008           0.0000           0.9374
   962   -3102.310755        -0.0013           0.0000           0.9374
   963   -3102.280658        -0.0005           0.0000           0.9374
   964   -3102.036971         0.0214           0.0005           0.9378
   965   -3102.009692         0.0080           0.0001           0.9379
   966   -3101.894235         0.0033           0.0000           0.9379
   967   -3101.881254         0.0087           0.0001           0.9380
   968   -3101.671644         0.0094           0.0001           0.9381
   969   -3101.653179        -0.0028           0.0000           0.9381
   970   -3101.582371        -0.0004           0.0000           0.9381
   971   -3101.553521        -0.0007           0.0000           0.9381
   972   -3101.492250        -0.0016           0.0000           0.9381
   973   -3101.482748        -0.0043           0.0000           0.9381
   974   -3101.422828        -0.0030           0.0000           0.9381
   975   -3101.389835         0.0002           0.0000           0.9381
   976   -3101.379387        -0.0005           0.0000           0.9381
   977   -3101.337668         0.0001           0.0000           0.9381
   978   -3101.316698        -0.0012           0.0000           0.9381
   979   -3101.142272        -0.0016           0.0000           0.9381
   980   -3101.130048        -0.0019           0.0000           0.9381
   981   -3100.955558         0.0034           0.0000           0.9381
   982   -3100.929217         0.0000           0.0000           0.9381
   983   -3100.749295         0.0003           0.0000           0.9381
   984   -3100.744840         0.0001           0.0000           0.9381
   985   -3100.710562         0.0006           0.0000           0.9381
   986   -3100.684433        -0.0001           0.0000           0.9381
   987   -3100.662598        -0.0004           0.0000           0.9381
   988   -3100.628694        -0.0000           0.0000           0.9381
   989   -3100.622176         0.0003           0.0000           0.9381
   990   -3100.574407        -0.0001           0.0000           0.9381
   991   -3100.563558        -0.0002           0.0000           0.9381
   992   -3100.518242        -0.0003           0.0000           0.9381
   993   -3100.500007        -0.0025           0.0000           0.9381
   994   -3100.473413        -0.0017           0.0000           0.9382
   995   -3100.457557        -0.0001           0.0000           0.9382
   996   -3100.416173        -0.0010           0.0000           0.9382
   997   -3100.398755         0.0005           0.0000           0.9382
   998   -3100.321486        -0.0005           0.0000           0.9382
   999   -3100.296044         0.0014           0.0000           0.9382
  1000   -3100.201591        -0.0013           0.0000           0.9382
  1001   -3099.992173         0.0005           0.0000           0.9382
  1002   -3099.955479         0.0002           0.0000           0.9382
  1003   -3099.939779        -0.0000           0.0000           0.9382
  1004   -3099.929159         0.0002           0.0000           0.9382
  1005   -3099.911252        -0.0000           0.0000           0.9382
  1006   -3099.871072        -0.0001           0.0000           0.9382
  1007   -3099.816384        -0.0000           0.0000           0.9382
  1008   -3099.683010         0.0000           0.0000           0.9382
  1009   -3099.629471         0.0007           0.0000           0.9382
  1010   -3099.545860         0.0001           0.0000           0.9382
  1011   -3099.471870        -0.0001           0.0000           0.9382
  1012   -3099.441143         0.0004           0.0000           0.9382
  1013   -3099.320608         0.0006           0.0000           0.9382
  1014   -3099.117321        -0.0028           0.0000           0.9382
  1015   -3099.060629        -0.0009           0.0000           0.9382
  1016   -3099.020675         0.0011           0.0000           0.9382
  1017   -3098.887676         0.0036           0.0000           0.9382
  1018   -3098.864640        -0.0015           0.0000           0.9382
  1019   -3098.817374        -0.0028           0.0000           0.9382
  1020   -3098.810954         0.0004           0.0000           0.9382
  1021   -3098.547742        -0.0003           0.0000           0.9382
  1022   -3098.523631        -0.0003           0.0000           0.9382
  1023   -3098.493018         0.0003           0.0000           0.9382
  1024   -3098.434922        -0.0022           0.0000           0.9382
  1025   -3098.421378         0.0008           0.0000           0.9382
  1026   -3098.401853         0.0002           0.0000           0.9382
  1027   -3098.372484        -0.0006           0.0000           0.9382
  1028   -3098.343852         0.0014           0.0000           0.9382
  1029   -3098.254564         0.0009           0.0000           0.9382
  1030   -3098.251975        -0.0010           0.0000           0.9382
  1031   -3098.222799         0.0012           0.0000           0.9382
  1032   -3098.210943        -0.0004           0.0000           0.9382
  1033   -3098.030063        -0.0008           0.0000           0.9382
  1034   -3097.919041         0.0001           0.0000           0.9382
  1035   -3097.886429        -0.0003           0.0000           0.9382
  1036   -3097.753979         0.0001           0.0000           0.9382
  1037   -3097.704424         0.0001           0.0000           0.9382
  1038   -3097.655863        -0.0002           0.0000           0.9382
  1039   -3097.571710        -0.0001           0.0000           0.9382
  1040   -3097.498392         0.0002           0.0000           0.9382
  1041   -3097.390463         0.0006           0.0000           0.9382
  1042   -3097.344172         0.0002           0.0000           0.9382
  1043   -3097.124099        -0.0003           0.0000           0.9382
  1044   -3097.076872         0.0004           0.0000           0.9382
  1045   -3097.034716        -0.0001           0.0000           0.9382
  1046   -3096.824361        -0.0014           0.0000           0.9382
  1047   -3096.448679        -0.0020           0.0000           0.9382
  1048   -3096.328607         0.0001           0.0000           0.9382
  1049   -3096.325984        -0.0002           0.0000           0.9382
  1050   -3096.255510        -0.0001           0.0000           0.9382
  1051   -3096.076139        -0.0003           0.0000           0.9382
  1052   -3096.066884        -0.0006           0.0000           0.9382
  1053   -3096.015142        -0.0014           0.0000           0.9382
  1054   -3095.851931        -0.0003           0.0000           0.9382
  1055   -3095.574015         0.0065           0.0000           0.9383
  1056   -3095.558267         0.0017           0.0000           0.9383
  1057   -3095.465074        -0.0008           0.0000           0.9383
  1058   -3095.449988        -0.0018           0.0000           0.9383
  1059   -3095.413190        -0.0006           0.0000           0.9383
  1060   -3095.315962        -0.0120           0.0001           0.9384
  1061   -3095.279863         0.0076           0.0001           0.9385
  1062   -3095.247393         0.0008           0.0000           0.9385
  1063   -3095.246123         0.0000           0.0000           0.9385
  1064   -3095.176414        -0.0036           0.0000           0.9385
  1065   -3095.150134        -0.0055           0.0000           0.9385
  1066   -3095.081550         0.0006           0.0000           0.9385
  1067   -3095.057476         0.0012           0.0000           0.9385
  1068   -3095.040090         0.0028           0.0000           0.9385
  1069   -3095.013242         0.0015           0.0000           0.9385
  1070   -3094.823852        -0.0038           0.0000           0.9385
  1071   -3094.704794        -0.0049           0.0000           0.9386
  1072   -3094.640649         0.0039           0.0000           0.9386
  1073   -3094.629162        -0.0036           0.0000           0.9386
  1074   -3094.457334         0.0048           0.0000           0.9386
  1075   -3094.449801        -0.0011           0.0000           0.9386
  1076   -3094.436003        -0.0037           0.0000           0.9386
  1077   -3094.339230        -0.0017           0.0000           0.9386
  1078   -3094.237179         0.0012           0.0000           0.9386
  1079   -3094.097690        -0.0018           0.0000           0.9386
  1080   -3094.023229        -0.0022           0.0000           0.9386
  1081   -3093.856478         0.0020           0.0000           0.9386
  1082   -3093.810444         0.0001           0.0000           0.9386
  1083   -3093.710181         0.0009           0.0000           0.9386
  1084   -3093.591878        -0.0019           0.0000           0.9386
  1085   -3093.480744         0.0008           0.0000           0.9386
  1086   -3093.474183         0.0023           0.0000           0.9387
  1087   -3093.456413        -0.0013           0.0000           0.9387
  1088   -3093.431442        -0.0002           0.0000           0.9387
  1089   -3093.312310         0.0005           0.0000           0.9387
