 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3307.325210         -0.0139          0.0002          0.0002
     1    -3384.686604    -3307.325210          0.0003          0.0000          0.0002
     2    -3384.674259    -3307.325210         -0.0016          0.0000          0.0002
     3    -3384.656828    -3307.325210          0.0143          0.0002          0.0004
     4    -3384.166683    -3307.325210          0.0010          0.0000          0.0004
     5    -3384.151793    -3307.325210         -0.0025          0.0000          0.0004
     6    -3384.137702    -3307.325210          0.0026          0.0000          0.0004
     7    -3383.631600    -3307.325210          0.0003          0.0000          0.0004
     8    -3324.092677    -3307.325210          0.2140          0.0458          0.0462
     9    -3323.716485    -3307.325210         -0.0774          0.0060          0.0522
    10    -3323.566754    -3307.325210          0.1445          0.0209          0.0731
    11    -3323.555854    -3307.325210          0.0875          0.0077          0.0807
    12    -3323.258184    -3307.325210         -0.0701          0.0049          0.0856
    13    -3323.211506    -3307.325210          0.0486          0.0024          0.0880
    14    -3323.110749    -3307.325210          0.0304          0.0009          0.0889
    15    -3323.049397    -3307.325210          0.0982          0.0097          0.0986
    16    -3322.791035    -3307.325210         -0.0059          0.0000          0.0986
    17    -3322.780530    -3307.325210          0.0176          0.0003          0.0989
    18    -3322.744266    -3307.325210         -0.0250          0.0006          0.0995
    19    -3322.694503    -3307.325210         -0.0311          0.0010          0.1005
    20    -3322.292629    -3307.325210         -0.0070          0.0000          0.1006
    21    -3322.282352    -3307.325210         -0.0111          0.0001          0.1007
    22    -3322.262426    -3307.325210          0.0176          0.0003          0.1010
    23    -3321.807791    -3307.325210         -0.0039          0.0000          0.1010
    24    -3313.011776    -3307.325210         -0.0019          0.0000          0.1010
    25    -3312.159585    -3307.325210          0.0063          0.0000          0.1011
    26    -3311.430065    -3307.325210          0.0020          0.0000          0.1011
    27    -3311.314435    -3307.325210         -0.0085          0.0001          0.1011
    28    -3310.174660    -3307.325210         -0.0019          0.0000          0.1011
    29    -3309.915233    -3307.325210          0.0021          0.0000          0.1011
    30    -3309.898918    -3307.325210          0.7108          0.5052          0.6064
    31    -3309.408416    -3307.325210          0.3113          0.0969          0.7033
    32    -3309.394598    -3307.325210         -0.3419          0.1169          0.8201
    33    -3309.348227    -3307.325210          0.0324          0.0010          0.8212
    34    -3309.271312    -3307.325210         -0.3001          0.0901          0.9112
    35    -3308.864037    -3307.325210         -0.1433          0.0205          0.9318
    36    -3308.830127    -3307.325210         -0.1930          0.0372          0.9690
    37    -3308.755980    -3307.325210         -0.1134          0.0129          0.9819
    38    -3308.204893    -3307.325210          0.0685          0.0047          0.9866
    39    -3306.604695    -3307.325210         -0.0839          0.0070          0.9936
    40    -3294.964588    -3307.325210          0.0081          0.0001          0.9937
    41    -3294.649568    -3307.325210         -0.0008          0.0000          0.9937
    42    -3293.969085    -3307.325210          0.0039          0.0000          0.9937
    43    -3293.461617    -3307.325210          0.0009          0.0000          0.9937
    44    -3293.448363    -3307.325210          0.0037          0.0000          0.9937
    45    -3289.206151    -3307.325210          0.0024          0.0000          0.9937
    46    -3289.196026    -3307.325210          0.0108          0.0001          0.9938
    47    -3289.143893    -3307.325210         -0.0167          0.0003          0.9941
    48    -3286.850281    -3307.325210          0.0038          0.0000          0.9941
    49    -3286.578751    -3307.325210          0.0043          0.0000          0.9942
    50    -3286.101588    -3307.325210         -0.0046          0.0000          0.9942
    51    -3285.308482    -3307.325210         -0.0053          0.0000          0.9942
    52    -3285.055310    -3307.325210          0.0056          0.0000          0.9942
    53    -3284.898846    -3307.325210          0.0377          0.0014          0.9957
    54    -3284.476328    -3307.325210          0.0143          0.0002          0.9959
    55    -3283.512376    -3307.325210          0.0083          0.0001          0.9959
    56    -3262.399204    -3307.325210         -0.0054          0.0000          0.9960
    57    -3262.356010    -3307.325210          0.0040          0.0000          0.9960
    58    -3262.164420    -3307.325210         -0.0010          0.0000          0.9960
    59    -3261.907173    -3307.325210         -0.0014          0.0000          0.9960
    60    -3261.807431    -3307.325210          0.0014          0.0000          0.9960
    61    -3261.748199    -3307.325210         -0.0007          0.0000          0.9960
    62    -3261.567534    -3307.325210          0.0005          0.0000          0.9960
    63    -3261.304751    -3307.325210         -0.0002          0.0000          0.9960
    64    -3260.908426    -3307.325210          0.0019          0.0000          0.9960
