 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3303.033254          0.2017          0.0407          0.0407
     1    -3384.767759    -3303.033254          0.1005          0.0101          0.0508
     2    -3384.706129    -3303.033254         -0.0455          0.0021          0.0528
     3    -3384.584960    -3303.033254         -0.0336          0.0011          0.0540
     4    -3384.215755    -3303.033254          0.0257          0.0007          0.0546
     5    -3384.156306    -3303.033254         -0.0112          0.0001          0.0548
     6    -3384.095371    -3303.033254         -0.0067          0.0000          0.0548
     7    -3383.631358    -3303.033254         -0.0063          0.0000          0.0548
     8    -3324.257903    -3303.033254          0.1574          0.0248          0.0796
     9    -3323.916046    -3303.033254          0.0797          0.0063          0.0860
    10    -3323.774643    -3303.033254          0.0645          0.0042          0.0901
    11    -3323.555754    -3303.033254          0.5427          0.2945          0.3846
    12    -3323.402957    -3303.033254         -0.2355          0.0555          0.4401
    13    -3323.278488    -3303.033254         -0.0176          0.0003          0.4404
    14    -3323.188830    -3303.033254         -0.1356          0.0184          0.4588
    15    -3323.082155    -3303.033254          0.2288          0.0523          0.5111
    16    -3322.889471    -3303.033254         -0.0916          0.0084          0.5195
    17    -3322.844311    -3303.033254          0.1210          0.0146          0.5341
    18    -3322.658096    -3303.033254          0.0133          0.0002          0.5343
    19    -3322.411821    -3303.033254          0.0982          0.0096          0.5439
    20    -3322.406310    -3303.033254         -0.0004          0.0000          0.5439
    21    -3322.303495    -3303.033254         -0.0572          0.0033          0.5472
    22    -3322.029141    -3303.033254          0.0818          0.0067          0.5539
    23    -3321.749779    -3303.033254         -0.0147          0.0002          0.5541
    24    -3313.072679    -3303.033254         -0.0101          0.0001          0.5542
    25    -3312.306031    -3303.033254          0.0217          0.0005          0.5547
    26    -3311.484417    -3303.033254          0.0343          0.0012          0.5559
    27    -3311.333421    -3303.033254         -0.0197          0.0004          0.5563
    28    -3310.340383    -3303.033254         -0.0968          0.0094          0.5656
    29    -3310.040472    -3303.033254         -0.0023          0.0000          0.5656
    30    -3309.939660    -3303.033254         -0.1224          0.0150          0.5806
    31    -3309.604728    -3303.033254          0.0467          0.0022          0.5828
    32    -3309.426504    -3303.033254         -0.0925          0.0086          0.5914
    33    -3309.235615    -3303.033254         -0.2189          0.0479          0.6393
    34    -3309.143675    -3303.033254         -0.5295          0.2803          0.9196
    35    -3308.824728    -3303.033254         -0.0419          0.0018          0.9214
    36    -3308.756251    -3303.033254         -0.0317          0.0010          0.9224
    37    -3308.680669    -3303.033254          0.2255          0.0509          0.9733
    38    -3308.182759    -3303.033254         -0.0701          0.0049          0.9782
    39    -3306.602743    -3303.033254          0.0078          0.0001          0.9782
    40    -3295.005559    -3303.033254         -0.0054          0.0000          0.9783
    41    -3294.690671    -3303.033254         -0.0003          0.0000          0.9783
    42    -3294.139646    -3303.033254          0.0107          0.0001          0.9784
    43    -3293.473917    -3303.033254          0.0024          0.0000          0.9784
    44    -3293.328990    -3303.033254         -0.0019          0.0000          0.9784
    45    -3289.588110    -3303.033254         -0.0013          0.0000          0.9784
    46    -3289.101876    -3303.033254          0.0032          0.0000          0.9784
    47    -3288.968742    -3303.033254         -0.0139          0.0002          0.9786
    48    -3286.925146    -3303.033254         -0.0088          0.0001          0.9787
    49    -3286.607919    -3303.033254          0.0043          0.0000          0.9787
    50    -3286.132352    -3303.033254         -0.0066          0.0000          0.9787
    51    -3285.456257    -3303.033254         -0.0056          0.0000          0.9788
    52    -3285.066201    -3303.033254          0.0169          0.0003          0.9791
    53    -3284.904900    -3303.033254         -0.0380          0.0014          0.9805
    54    -3284.374652    -3303.033254         -0.0171          0.0003          0.9808
    55    -3283.511281    -3303.033254          0.0272          0.0007          0.9815
    56    -3262.812244    -3303.033254         -0.0044          0.0000          0.9816
    57    -3262.665812    -3303.033254          0.0084          0.0001          0.9816
    58    -3262.236596    -3303.033254          0.0023          0.0000          0.9816
    59    -3262.164748    -3303.033254          0.0018          0.0000          0.9816
    60    -3262.074022    -3303.033254         -0.0019          0.0000          0.9816
    61    -3261.948680    -3303.033254          0.0014          0.0000          0.9816
    62    -3261.492804    -3303.033254         -0.0005          0.0000          0.9816
    63    -3261.323137    -3303.033254          0.0018          0.0000          0.9816
    64    -3261.020034    -3303.033254          0.0138          0.0002          0.9818
    65    -3260.754632    -3303.033254         -0.0137          0.0002          0.9820
    66    -3260.665502    -3303.033254          0.0104          0.0001          0.9821
    67    -3260.508208    -3303.033254         -0.0006          0.0000          0.9821
    68    -3260.426408    -3303.033254          0.0012          0.0000          0.9821
    69    -3260.359196    -3303.033254         -0.0101          0.0001          0.9822
    70    -3260.250241    -3303.033254          0.0081          0.0001          0.9823
    71    -3260.091411    -3303.033254          0.0046          0.0000          0.9823
    72    -3260.079849    -3303.033254         -0.0068          0.0000          0.9824
    73    -3260.040345    -3303.033254         -0.0038          0.0000          0.9824
    74    -3259.919716    -3303.033254          0.0042          0.0000          0.9824
    75    -3259.772278    -3303.033254         -0.0058          0.0000          0.9824
    76    -3259.708320    -3303.033254          0.0049          0.0000          0.9825
    77    -3259.645226    -3303.033254         -0.0017          0.0000          0.9825
    78    -3259.393741    -3303.033254          0.0016          0.0000          0.9825
    79    -3259.285183    -3303.033254          0.0000          0.0000          0.9825
    80    -3254.283825    -3303.033254         -0.0008          0.0000          0.9825
    81    -3254.175534    -3303.033254         -0.0034          0.0000          0.9825
    82    -3254.081950    -3303.033254          0.0048          0.0000          0.9825
    83    -3253.933548    -3303.033254         -0.0005          0.0000          0.9825
    84    -3253.633920    -3303.033254          0.0243          0.0006          0.9831
    85    -3253.356349    -3303.033254         -0.0092          0.0001          0.9832
    86    -3253.126328    -3303.033254         -0.0163          0.0003          0.9834
    87    -3253.099386    -3303.033254          0.0050          0.0000          0.9835
    88    -3252.783224    -3303.033254         -0.0112          0.0001          0.9836
    89    -3252.683406    -3303.033254          0.0067          0.0000          0.9836
    90    -3252.505949    -3303.033254         -0.0044          0.0000          0.9836
    91    -3251.164128    -3303.033254         -0.0090          0.0001          0.9837
    92    -3249.893079    -3303.033254          0.0010          0.0000          0.9837
    93    -3249.451961    -3303.033254         -0.0015          0.0000          0.9837
    94    -3248.576335    -3303.033254         -0.0005          0.0000          0.9837
    95    -3248.084986    -3303.033254          0.0018          0.0000          0.9837
    96    -3247.802472    -3303.033254         -0.0028          0.0000          0.9837
