 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3308.192011         -0.0746          0.0056          0.0056
     1    -3384.767759    -3308.192011         -0.0373          0.0014          0.0070
     2    -3384.706129    -3308.192011          0.0187          0.0003          0.0073
     3    -3384.584960    -3308.192011          0.0134          0.0002          0.0075
     4    -3384.215755    -3308.192011         -0.0119          0.0001          0.0076
     5    -3384.156306    -3308.192011          0.0048          0.0000          0.0076
     6    -3384.095371    -3308.192011          0.0027          0.0000          0.0077
     7    -3383.631358    -3308.192011          0.0037          0.0000          0.0077
     8    -3324.257903    -3308.192011         -0.1597          0.0255          0.0332
     9    -3323.916046    -3308.192011         -0.0876          0.0077          0.0408
    10    -3323.774643    -3308.192011         -0.0480          0.0023          0.0431
    11    -3323.555754    -3308.192011         -0.3780          0.1429          0.1861
    12    -3323.402957    -3308.192011          0.1513          0.0229          0.2089
    13    -3323.278488    -3308.192011          0.0165          0.0003          0.2092
    14    -3323.188830    -3308.192011          0.0924          0.0085          0.2178
    15    -3323.082155    -3308.192011         -0.1359          0.0185          0.2362
    16    -3322.889471    -3308.192011          0.0678          0.0046          0.2408
    17    -3322.844311    -3308.192011         -0.0782          0.0061          0.2469
    18    -3322.658096    -3308.192011         -0.0024          0.0000          0.2469
    19    -3322.411821    -3308.192011         -0.0448          0.0020          0.2490
    20    -3322.406310    -3308.192011         -0.0041          0.0000          0.2490
    21    -3322.303495    -3308.192011          0.0406          0.0016          0.2506
    22    -3322.029141    -3308.192011         -0.0507          0.0026          0.2532
    23    -3321.749779    -3308.192011          0.0136          0.0002          0.2534
    24    -3313.072679    -3308.192011         -0.0093          0.0001          0.2535
    25    -3312.306031    -3308.192011          0.0963          0.0093          0.2627
    26    -3311.484417    -3308.192011         -0.0035          0.0000          0.2628
    27    -3311.333421    -3308.192011          0.0382          0.0015          0.2642
    28    -3310.340383    -3308.192011         -0.0825          0.0068          0.2710
    29    -3310.040472    -3308.192011          0.0545          0.0030          0.2740
    30    -3309.939660    -3308.192011         -0.6775          0.4590          0.7330
    31    -3309.604728    -3308.192011          0.1779          0.0317          0.7647
    32    -3309.426504    -3308.192011         -0.0854          0.0073          0.7720
    33    -3309.235615    -3308.192011         -0.1815          0.0329          0.8049
    34    -3309.143675    -3308.192011         -0.3893          0.1515          0.9564
    35    -3308.824728    -3308.192011         -0.0317          0.0010          0.9574
    36    -3308.756251    -3308.192011         -0.0082          0.0001          0.9575
    37    -3308.680669    -3308.192011          0.1265          0.0160          0.9735
    38    -3308.182759    -3308.192011          0.0553          0.0031          0.9766
    39    -3306.602743    -3308.192011         -0.1090          0.0119          0.9884
    40    -3295.005559    -3308.192011         -0.0173          0.0003          0.9887
    41    -3294.690671    -3308.192011          0.0067          0.0000          0.9888
    42    -3294.139646    -3308.192011         -0.0051          0.0000          0.9888
    43    -3293.473917    -3308.192011         -0.0023          0.0000          0.9888
    44    -3293.328990    -3308.192011          0.0001          0.0000          0.9888
    45    -3289.588110    -3308.192011          0.0038          0.0000          0.9888
    46    -3289.101876    -3308.192011         -0.0078          0.0001          0.9889
    47    -3288.968742    -3308.192011          0.0255          0.0007          0.9895
    48    -3286.925146    -3308.192011          0.0040          0.0000          0.9896
    49    -3286.607919    -3308.192011         -0.0064          0.0000          0.9896
    50    -3286.132352    -3308.192011          0.0099          0.0001          0.9897
    51    -3285.456257    -3308.192011          0.0141          0.0002          0.9899
    52    -3285.066201    -3308.192011         -0.0183          0.0003          0.9902
    53    -3284.904900    -3308.192011          0.0348          0.0012          0.9914
    54    -3284.374652    -3308.192011          0.0156          0.0002          0.9917
    55    -3283.511281    -3308.192011         -0.0417          0.0017          0.9934
    56    -3262.812244    -3308.192011          0.0022          0.0000          0.9934
    57    -3262.665812    -3308.192011         -0.0060          0.0000          0.9935
    58    -3262.236596    -3308.192011         -0.0006          0.0000          0.9935
    59    -3262.164748    -3308.192011         -0.0020          0.0000          0.9935
    60    -3262.074022    -3308.192011          0.0015          0.0000          0.9935
    61    -3261.948680    -3308.192011         -0.0002          0.0000          0.9935
    62    -3261.492804    -3308.192011          0.0010          0.0000          0.9935
    63    -3261.323137    -3308.192011         -0.0004          0.0000          0.9935
    64    -3261.020034    -3308.192011         -0.0070          0.0000          0.9935
    65    -3260.754632    -3308.192011          0.0067          0.0000          0.9936
    66    -3260.665502    -3308.192011         -0.0058          0.0000          0.9936
    67    -3260.508208    -3308.192011          0.0005          0.0000          0.9936
    68    -3260.426408    -3308.192011         -0.0006          0.0000          0.9936
    69    -3260.359196    -3308.192011          0.0050          0.0000          0.9936
    70    -3260.250241    -3308.192011         -0.0046          0.0000          0.9937
    71    -3260.091411    -3308.192011         -0.0021          0.0000          0.9937
    72    -3260.079849    -3308.192011          0.0044          0.0000          0.9937
    73    -3260.040345    -3308.192011          0.0015          0.0000          0.9937
    74    -3259.919716    -3308.192011         -0.0011          0.0000          0.9937
    75    -3259.772278    -3308.192011          0.0029          0.0000          0.9937
    76    -3259.708320    -3308.192011         -0.0033          0.0000          0.9937
    77    -3259.645226    -3308.192011          0.0014          0.0000          0.9937
    78    -3259.393741    -3308.192011         -0.0005          0.0000          0.9937
    79    -3259.285183    -3308.192011         -0.0003          0.0000          0.9937
    80    -3254.283825    -3308.192011          0.0021          0.0000          0.9937
    81    -3254.175534    -3308.192011          0.0037          0.0000          0.9937
    82    -3254.081950    -3308.192011         -0.0043          0.0000          0.9937
    83    -3253.933548    -3308.192011         -0.0019          0.0000          0.9937
    84    -3253.633920    -3308.192011         -0.0149          0.0002          0.9940
    85    -3253.356349    -3308.192011          0.0070          0.0000          0.9940
    86    -3253.126328    -3308.192011          0.0026          0.0000          0.9940
    87    -3253.099386    -3308.192011         -0.0008          0.0000          0.9940
    88    -3252.783224    -3308.192011          0.0071          0.0000          0.9941
