 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3279.500088          0.3777          0.1426          0.1426
     1    -3384.767759    -3279.500088          0.1926          0.0371          0.1797
     2    -3384.706129    -3279.500088         -0.1131          0.0128          0.1925
     3    -3384.584960    -3279.500088         -0.0672          0.0045          0.1970
     4    -3384.215755    -3279.500088          0.0639          0.0041          0.2011
     5    -3384.156306    -3279.500088         -0.0168          0.0003          0.2014
     6    -3384.095371    -3279.500088         -0.0079          0.0001          0.2015
     7    -3383.631358    -3279.500088         -0.0189          0.0004          0.2018
     8    -3324.257903    -3279.500088          0.2407          0.0579          0.2598
     9    -3323.916046    -3279.500088          0.1263          0.0160          0.2757
    10    -3323.774643    -3279.500088          0.0836          0.0070          0.2827
    11    -3323.555754    -3279.500088          0.3475          0.1208          0.4035
    12    -3323.402957    -3279.500088         -0.1539          0.0237          0.4271
    13    -3323.278488    -3279.500088         -0.0324          0.0010          0.4282
    14    -3323.188830    -3279.500088         -0.1017          0.0104          0.4385
    15    -3323.082155    -3279.500088          0.1466          0.0215          0.4600
    16    -3322.889471    -3279.500088         -0.0082          0.0001          0.4601
    17    -3322.844311    -3279.500088          0.0394          0.0016          0.4617
    18    -3322.658096    -3279.500088          0.0236          0.0006          0.4622
    19    -3322.411821    -3279.500088          0.0889          0.0079          0.4701
    20    -3322.406310    -3279.500088          0.0334          0.0011          0.4713
    21    -3322.303495    -3279.500088         -0.0529          0.0028          0.4741
    22    -3322.029141    -3279.500088          0.0418          0.0017          0.4758
    23    -3321.749779    -3279.500088         -0.0228          0.0005          0.4763
    24    -3313.072679    -3279.500088         -0.0232          0.0005          0.4769
    25    -3312.306031    -3279.500088          0.0676          0.0046          0.4814
    26    -3311.484417    -3279.500088          0.0465          0.0022          0.4836
    27    -3311.333421    -3279.500088          0.0573          0.0033          0.4869
    28    -3310.340383    -3279.500088         -0.1232          0.0152          0.5020
    29    -3310.040472    -3279.500088         -0.0261          0.0007          0.5027
    30    -3309.939660    -3279.500088         -0.3847          0.1480          0.6507
    31    -3309.604728    -3279.500088          0.0552          0.0030          0.6538
    32    -3309.426504    -3279.500088         -0.0441          0.0019          0.6557
    33    -3309.235615    -3279.500088         -0.2747          0.0754          0.7312
    34    -3309.143675    -3279.500088         -0.2648          0.0701          0.8013
    35    -3308.824728    -3279.500088         -0.0466          0.0022          0.8035
    36    -3308.756251    -3279.500088         -0.0339          0.0011          0.8046
    37    -3308.680669    -3279.500088          0.1292          0.0167          0.8213
    38    -3308.182759    -3279.500088          0.0202          0.0004          0.8217
    39    -3306.602743    -3279.500088         -0.2182          0.0476          0.8693
    40    -3295.005559    -3279.500088          0.0060          0.0000          0.8694
    41    -3294.690671    -3279.500088         -0.0086          0.0001          0.8694
    42    -3294.139646    -3279.500088          0.0096          0.0001          0.8695
    43    -3293.473917    -3279.500088         -0.0144          0.0002          0.8697
    44    -3293.328990    -3279.500088          0.0289          0.0008          0.8706
    45    -3289.588110    -3279.500088          0.0338          0.0011          0.8717
    46    -3289.101876    -3279.500088          0.0666          0.0044          0.8762
    47    -3288.968742    -3279.500088          0.0026          0.0000          0.8762
    48    -3286.925146    -3279.500088          0.0151          0.0002          0.8764
    49    -3286.607919    -3279.500088          0.0024          0.0000          0.8764
    50    -3286.132352    -3279.500088         -0.0296          0.0009          0.8773
    51    -3285.456257    -3279.500088          0.0503          0.0025          0.8798
    52    -3285.066201    -3279.500088         -0.0258          0.0007          0.8805
    53    -3284.904900    -3279.500088         -0.1259          0.0159          0.8963
    54    -3284.374652    -3279.500088         -0.0605          0.0037          0.9000
    55    -3283.511281    -3279.500088         -0.1028          0.0106          0.9106
    56    -3262.812244    -3279.500088         -0.0051          0.0000          0.9106
    57    -3262.665812    -3279.500088          0.0439          0.0019          0.9125
    58    -3262.236596    -3279.500088          0.0024          0.0000          0.9125
    59    -3262.164748    -3279.500088          0.0076          0.0001          0.9126
    60    -3262.074022    -3279.500088         -0.0130          0.0002          0.9127
    61    -3261.948680    -3279.500088          0.0092          0.0001          0.9128
    62    -3261.492804    -3279.500088         -0.0015          0.0000          0.9128
    63    -3261.323137    -3279.500088          0.0049          0.0000          0.9128
    64    -3261.020034    -3279.500088          0.0312          0.0010          0.9138
    65    -3260.754632    -3279.500088         -0.0296          0.0009          0.9147
    66    -3260.665502    -3279.500088          0.0264          0.0007          0.9154
    67    -3260.508208    -3279.500088          0.0009          0.0000          0.9154
    68    -3260.426408    -3279.500088          0.0026          0.0000          0.9154
    69    -3260.359196    -3279.500088         -0.0229          0.0005          0.9159
    70    -3260.250241    -3279.500088          0.0144          0.0002          0.9161
    71    -3260.091411    -3279.500088          0.0065          0.0000          0.9162
    72    -3260.079849    -3279.500088         -0.0095          0.0001          0.9163
    73    -3260.040345    -3279.500088         -0.0127          0.0002          0.9164
    74    -3259.919716    -3279.500088          0.0117          0.0001          0.9166
    75    -3259.772278    -3279.500088         -0.0079          0.0001          0.9166
    76    -3259.708320    -3279.500088          0.0035          0.0000          0.9166
    77    -3259.645226    -3279.500088         -0.0030          0.0000          0.9166
    78    -3259.393741    -3279.500088          0.0016          0.0000          0.9166
    79    -3259.285183    -3279.500088         -0.0002          0.0000          0.9166
    80    -3254.283825    -3279.500088         -0.0062          0.0000          0.9167
    81    -3254.175534    -3279.500088         -0.0064          0.0000          0.9167
    82    -3254.081950    -3279.500088          0.0063          0.0000          0.9168
    83    -3253.933548    -3279.500088          0.0052          0.0000          0.9168
    84    -3253.633920    -3279.500088          0.0494          0.0024          0.9192
    85    -3253.356349    -3279.500088         -0.0195          0.0004          0.9196
    86    -3253.126328    -3279.500088         -0.0399          0.0016          0.9212
    87    -3253.099386    -3279.500088          0.0154          0.0002          0.9214
    88    -3252.783224    -3279.500088         -0.0198          0.0004          0.9218
    89    -3252.683406    -3279.500088          0.0158          0.0003          0.9221
    90    -3252.505949    -3279.500088         -0.0061          0.0000          0.9221
    91    -3251.164128    -3279.500088         -0.0198          0.0004          0.9225
    92    -3249.893079    -3279.500088          0.0015          0.0000          0.9225
    93    -3249.451961    -3279.500088         -0.0028          0.0000          0.9225
    94    -3248.576335    -3279.500088          0.0003          0.0000          0.9225
    95    -3248.084986    -3279.500088         -0.0022          0.0000          0.9225
    96    -3247.802472    -3279.500088         -0.0097          0.0001          0.9226
    97    -3247.527101    -3279.500088          0.0144          0.0002          0.9228
    98    -3247.472901    -3279.500088          0.0078          0.0001          0.9229
    99    -3246.894807    -3279.500088          0.0252          0.0006          0.9235
   100    -3246.718977    -3279.500088          0.0034          0.0000          0.9235
