 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3277.090716          0.3964          0.1572          0.1572
     1    -3384.767759    -3277.090716          0.2019          0.0408          0.1979
     2    -3384.706129    -3277.090716         -0.1182          0.0140          0.2119
     3    -3384.584960    -3277.090716         -0.0705          0.0050          0.2169
     4    -3384.215755    -3277.090716          0.0672          0.0045          0.2214
     5    -3384.156306    -3277.090716         -0.0178          0.0003          0.2217
     6    -3384.095371    -3277.090716         -0.0085          0.0001          0.2218
     7    -3383.631358    -3277.090716         -0.0200          0.0004          0.2222
     8    -3324.257903    -3277.090716          0.2956          0.0874          0.3096
     9    -3323.916046    -3277.090716          0.1565          0.0245          0.3341
    10    -3323.774643    -3277.090716          0.1002          0.0100          0.3441
    11    -3323.555754    -3277.090716          0.4552          0.2072          0.5513
    12    -3323.402957    -3277.090716         -0.1972          0.0389          0.5901
    13    -3323.278488    -3277.090716         -0.0386          0.0015          0.5916
    14    -3323.188830    -3277.090716         -0.1290          0.0166          0.6083
    15    -3323.082155    -3277.090716          0.1852          0.0343          0.6426
    16    -3322.889471    -3277.090716         -0.0245          0.0006          0.6431
    17    -3322.844311    -3277.090716          0.0593          0.0035          0.6467
    18    -3322.658096    -3277.090716          0.0251          0.0006          0.6473
    19    -3322.411821    -3277.090716          0.1032          0.0107          0.6580
    20    -3322.406310    -3277.090716          0.0366          0.0013          0.6593
    21    -3322.303495    -3277.090716         -0.0654          0.0043          0.6636
    22    -3322.029141    -3277.090716          0.0555          0.0031          0.6666
    23    -3321.749779    -3277.090716         -0.0275          0.0008          0.6674
    24    -3313.072679    -3277.090716         -0.0214          0.0005          0.6679
    25    -3312.306031    -3277.090716          0.0424          0.0018          0.6697
    26    -3311.484417    -3277.090716          0.0485          0.0024          0.6720
    27    -3311.333421    -3277.090716          0.0501          0.0025          0.6745
    28    -3310.340383    -3277.090716         -0.1020          0.0104          0.6849
    29    -3310.040472    -3277.090716         -0.0430          0.0019          0.6868
    30    -3309.939660    -3277.090716         -0.2045          0.0418          0.7286
    31    -3309.604728    -3277.090716          0.0046          0.0000          0.7286
    32    -3309.426504    -3277.090716         -0.0180          0.0003          0.7289
    33    -3309.235615    -3277.090716         -0.2276          0.0518          0.7807
    34    -3309.143675    -3277.090716         -0.1444          0.0208          0.8016
    35    -3308.824728    -3277.090716         -0.0382          0.0015          0.8030
