 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3231.009242          0.2515          0.0633          0.0633
     1    -3384.767759    -3231.009242          0.1296          0.0168          0.0801
     2    -3384.706129    -3231.009242         -0.0952          0.0091          0.0891
     3    -3384.584960    -3231.009242         -0.0460          0.0021          0.0912
     4    -3384.215755    -3231.009242          0.0532          0.0028          0.0941
     5    -3384.156306    -3231.009242         -0.0077          0.0001          0.0941
     6    -3384.095371    -3231.009242         -0.0018          0.0000          0.0941
     7    -3383.631358    -3231.009242         -0.0177          0.0003          0.0945
     8    -3324.257903    -3231.009242          0.3059          0.0936          0.1880
     9    -3323.916046    -3231.009242          0.1674          0.0280          0.2160
    10    -3323.774643    -3231.009242          0.0904          0.0082          0.2242
    11    -3323.555754    -3231.009242          0.0280          0.0008          0.2250
    12    -3323.402957    -3231.009242         -0.0142          0.0002          0.2252
    13    -3323.278488    -3231.009242         -0.0449          0.0020          0.2272
    14    -3323.188830    -3231.009242         -0.0357          0.0013          0.2285
    15    -3323.082155    -3231.009242          0.0042          0.0000          0.2285
    16    -3322.889471    -3231.009242          0.0916          0.0084          0.2369
    17    -3322.844311    -3231.009242         -0.0706          0.0050          0.2419
    18    -3322.658096    -3231.009242          0.0275          0.0008          0.2426
    19    -3322.411821    -3231.009242          0.0476          0.0023          0.2449
    20    -3322.406310    -3231.009242          0.0657          0.0043          0.2492
    21    -3322.303495    -3231.009242         -0.0342          0.0012          0.2504
    22    -3322.029141    -3231.009242         -0.0188          0.0004          0.2507
    23    -3321.749779    -3231.009242         -0.0279          0.0008          0.2515
    24    -3313.072679    -3231.009242         -0.0253          0.0006          0.2522
    25    -3312.306031    -3231.009242          0.0609          0.0037          0.2559
    26    -3311.484417    -3231.009242          0.0374          0.0014          0.2573
    27    -3311.333421    -3231.009242          0.1201          0.0144          0.2717
    28    -3310.340383    -3231.009242         -0.0613          0.0038          0.2754
    29    -3310.040472    -3231.009242         -0.0622          0.0039          0.2793
    30    -3309.939660    -3231.009242         -0.3100          0.0961          0.3754
    31    -3309.604728    -3231.009242         -0.0276          0.0008          0.3762
    32    -3309.426504    -3231.009242          0.0786          0.0062          0.3824
    33    -3309.235615    -3231.009242         -0.1315          0.0173          0.3997
