 Index             RefE       eigenvalue          overlap  overlap-squared           Total
    97    -3247.527101    -3277.090716          0.0162          0.0003          0.9121
    98    -3247.472901    -3277.090716          0.0086          0.0001          0.9121
    99    -3246.894807    -3277.090716          0.0256          0.0007          0.9128
   100    -3246.718977    -3277.090716          0.0033          0.0000          0.9128
   101    -3246.439000    -3277.090716         -0.0115          0.0001          0.9129
   102    -3246.391146    -3277.090716          0.0183          0.0003          0.9133
   103    -3246.336387    -3277.090716         -0.0020          0.0000          0.9133
   104    -3246.303028    -3277.090716          0.0018          0.0000          0.9133
   105    -3246.162404    -3277.090716         -0.0139          0.0002          0.9135
   106    -3245.975782    -3277.090716          0.0031          0.0000          0.9135
   107    -3245.919239    -3277.090716          0.0084          0.0001          0.9136
   108    -3245.816298    -3277.090716          0.0022          0.0000          0.9136
   109    -3245.689729    -3277.090716          0.0088          0.0001          0.9136
   110    -3245.620354    -3277.090716          0.0071          0.0000          0.9137
   111    -3245.542827    -3277.090716          0.0047          0.0000          0.9137
   112    -3245.521737    -3277.090716          0.0087          0.0001          0.9138
   113    -3245.386947    -3277.090716         -0.0066          0.0000          0.9138
   114    -3245.313422    -3277.090716         -0.0002          0.0000          0.9138
   115    -3245.184955    -3277.090716         -0.0131          0.0002          0.9140
   116    -3245.084225    -3277.090716          0.0044          0.0000          0.9140
   117    -3244.968958    -3277.090716         -0.0046          0.0000          0.9140
   118    -3244.828926    -3277.090716          0.0062          0.0000          0.9141
   119    -3244.568745    -3277.090716         -0.0129          0.0002          0.9143
   120    -3244.442084    -3277.090716          0.0093          0.0001          0.9143
   121    -3244.159862    -3277.090716         -0.0255          0.0006          0.9150
   122    -3242.684178    -3277.090716         -0.0079          0.0001          0.9151
   123    -3241.196882    -3277.090716         -0.0364          0.0013          0.9164
   124    -3235.688699    -3277.090716          0.0005          0.0000          0.9164
   125    -3235.556117    -3277.090716         -0.0038          0.0000          0.9164
   126    -3234.824796    -3277.090716          0.0057          0.0000          0.9164
   127    -3234.520463    -3277.090716         -0.0041          0.0000          0.9164
   128    -3234.359748    -3277.090716          0.0067          0.0000          0.9165
   129    -3234.227240    -3277.090716          0.0097          0.0001          0.9166
   130    -3234.103380    -3277.090716          0.0036          0.0000          0.9166
   131    -3233.909486    -3277.090716          0.0149          0.0002          0.9168
   132    -3233.730456    -3277.090716          0.0094          0.0001          0.9169
   133    -3233.632481    -3277.090716          0.0166          0.0003          0.9172
   134    -3233.363469    -3277.090716          0.0000          0.0000          0.9172
   135    -3233.265126    -3277.090716         -0.0087          0.0001          0.9172
   136    -3233.231172    -3277.090716         -0.0026          0.0000          0.9173
   137    -3233.031411    -3277.090716         -0.0052          0.0000          0.9173
   138    -3232.811485    -3277.090716         -0.0069          0.0000          0.9173
   139    -3232.601481    -3277.090716          0.0012          0.0000          0.9173
   140    -3231.458866    -3277.090716         -0.0323          0.0010          0.9184
   141    -3230.864008    -3277.090716          0.0015          0.0000          0.9184
   142    -3230.679943    -3277.090716          0.0004          0.0000          0.9184
   143    -3230.285859    -3277.090716          0.0075          0.0001          0.9184
   144    -3230.195892    -3277.090716         -0.0001          0.0000          0.9184
   145    -3229.806048    -3277.090716          0.0127          0.0002          0.9186
   146    -3228.990699    -3277.090716         -0.0359          0.0013          0.9199
   147    -3228.527354    -3277.090716          0.0016          0.0000          0.9199
   148    -3228.373321    -3277.090716         -0.0003          0.0000          0.9199
   149    -3228.194132    -3277.090716         -0.0095          0.0001          0.9200
   150    -3227.412684    -3277.090716          0.0021          0.0000          0.9200
   151    -3227.370045    -3277.090716          0.0003          0.0000          0.9200
   152    -3226.904999    -3277.090716          0.0014          0.0000          0.9200
   153    -3226.697292    -3277.090716          0.0083          0.0001          0.9201
   154    -3226.677169    -3277.090716         -0.0023          0.0000          0.9201
   155    -3225.499383    -3277.090716          0.0060          0.0000          0.9201
   156    -3225.050571    -3277.090716         -0.0014          0.0000          0.9201
   157    -3224.930581    -3277.090716          0.0003          0.0000          0.9201
   158    -3224.679532    -3277.090716          0.0019          0.0000          0.9201
   159    -3224.465816    -3277.090716         -0.0020          0.0000          0.9201
   160    -3224.362657    -3277.090716          0.0000          0.0000          0.9201
   161    -3224.175536    -3277.090716         -0.0032          0.0000          0.9201
