 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3345.946660          0.7009          0.4913          0.4913
     1    -3384.767759    -3345.946660          0.3656          0.1337          0.6250
     2    -3384.706129    -3345.946660         -0.2103          0.0442          0.6692
     3    -3384.584960    -3345.946660         -0.1341          0.0180          0.6871
     4    -3384.215755    -3345.946660          0.1233          0.0152          0.7024
     5    -3384.156306    -3345.946660         -0.0342          0.0012          0.7035
     6    -3384.095371    -3345.946660         -0.0155          0.0002          0.7038
     7    -3383.631358    -3345.946660         -0.0362          0.0013          0.7051
     8    -3324.257903    -3345.946660         -0.2300          0.0529          0.7580
     9    -3323.916046    -3345.946660         -0.1267          0.0161          0.7740
    10    -3323.774643    -3345.946660         -0.0841          0.0071          0.7811
    11    -3323.555754    -3345.946660         -0.2686          0.0722          0.8533
    12    -3323.402957    -3345.946660          0.1212          0.0147          0.8679
    13    -3323.278488    -3345.946660          0.0324          0.0011          0.8690
    14    -3323.188830    -3345.946660          0.0814          0.0066          0.8756
    15    -3323.082155    -3345.946660         -0.1158          0.0134          0.8890
    16    -3322.889471    -3345.946660          0.0066          0.0000          0.8891
    17    -3322.844311    -3345.946660         -0.0250          0.0006          0.8897
    18    -3322.658096    -3345.946660         -0.0183          0.0003          0.8900
    19    -3322.411821    -3345.946660         -0.0700          0.0049          0.8949
    20    -3322.406310    -3345.946660         -0.0208          0.0004          0.8954
    21    -3322.303495    -3345.946660          0.0385          0.0015          0.8968
    22    -3322.029141    -3345.946660         -0.0303          0.0009          0.8978
    23    -3321.749779    -3345.946660          0.0180          0.0003          0.8981
    24    -3313.072679    -3345.946660          0.0092          0.0001          0.8982
    25    -3312.306031    -3345.946660         -0.0282          0.0008          0.8990
    26    -3311.484417    -3345.946660         -0.0137          0.0002          0.8992
    27    -3311.333421    -3345.946660         -0.0190          0.0004          0.8995
    28    -3310.340383    -3345.946660          0.0493          0.0024          0.9019
    29    -3310.040472    -3345.946660          0.0019          0.0000          0.9020
    30    -3309.939660    -3345.946660          0.1902          0.0362          0.9381
    31    -3309.604728    -3345.946660         -0.0173          0.0003          0.9384
    32    -3309.426504    -3345.946660          0.0254          0.0006          0.9391
    33    -3309.235615    -3345.946660          0.1040          0.0108          0.9499
    34    -3309.143675    -3345.946660          0.1394          0.0194          0.9693
    35    -3308.824728    -3345.946660          0.0260          0.0007          0.9700
    36    -3308.756251    -3345.946660          0.0178          0.0003          0.9703
    37    -3308.680669    -3345.946660         -0.0661          0.0044          0.9747
    38    -3308.182759    -3345.946660         -0.0112          0.0001          0.9748
    39    -3306.602743    -3345.946660          0.0596          0.0035          0.9784
    40    -3295.005559    -3345.946660          0.0033          0.0000          0.9784
    41    -3294.690671    -3345.946660         -0.0013          0.0000          0.9784
    42    -3294.139646    -3345.946660          0.0008          0.0000          0.9784
    43    -3293.473917    -3345.946660          0.0021          0.0000          0.9784
