 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3231.009242          0.2515          0.0632          0.0632
     1    -3384.767759    -3231.009242          0.1296          0.0168          0.0800
     2    -3384.706129    -3231.009242         -0.0953          0.0091          0.0891
     3    -3384.584960    -3231.009242         -0.0460          0.0021          0.0912
     4    -3384.215755    -3231.009242          0.0532          0.0028          0.0941
     5    -3384.156306    -3231.009242         -0.0077          0.0001          0.0941
     6    -3384.095371    -3231.009242         -0.0019          0.0000          0.0941
     7    -3383.631358    -3231.009242         -0.0177          0.0003          0.0944
     8    -3324.257903    -3231.009242          0.3061          0.0937          0.1881
     9    -3323.916046    -3231.009242          0.1674          0.0280          0.2162
    10    -3323.774643    -3231.009242          0.0904          0.0082          0.2243
    11    -3323.555754    -3231.009242          0.0283          0.0008          0.2252
    12    -3323.402957    -3231.009242         -0.0142          0.0002          0.2254
    13    -3323.278488    -3231.009242         -0.0450          0.0020          0.2274
    14    -3323.188830    -3231.009242         -0.0358          0.0013          0.2287
    15    -3323.082155    -3231.009242          0.0043          0.0000          0.2287
    16    -3322.889471    -3231.009242          0.0917          0.0084          0.2371
    17    -3322.844311    -3231.009242         -0.0707          0.0050          0.2421
    18    -3322.658096    -3231.009242          0.0275          0.0008          0.2428
    19    -3322.411821    -3231.009242          0.0475          0.0023          0.2451
    20    -3322.406310    -3231.009242          0.0657          0.0043          0.2494
    21    -3322.303495    -3231.009242         -0.0343          0.0012          0.2506
    22    -3322.029141    -3231.009242         -0.0188          0.0004          0.2509
    23    -3321.749779    -3231.009242         -0.0280          0.0008          0.2517
    24    -3313.072679    -3231.009242         -0.0253          0.0006          0.2524
    25    -3312.306031    -3231.009242          0.0608          0.0037          0.2561
    26    -3311.484417    -3231.009242          0.0373          0.0014          0.2575
    27    -3311.333421    -3231.009242          0.1201          0.0144          0.2719
    28    -3310.340383    -3231.009242         -0.0613          0.0038          0.2756
    29    -3310.040472    -3231.009242         -0.0623          0.0039          0.2795
    30    -3309.939660    -3231.009242         -0.3099          0.0960          0.3755
    31    -3309.604728    -3231.009242         -0.0277          0.0008          0.3763
    32    -3309.426504    -3231.009242          0.0786          0.0062          0.3825
    33    -3309.235615    -3231.009242         -0.1315          0.0173          0.3998
    34    -3309.143675    -3231.009242          0.3948          0.1559          0.5557
    35    -3308.824728    -3231.009242         -0.0171          0.0003          0.5560
    36    -3308.756251    -3231.009242         -0.0156          0.0002          0.5562
    37    -3308.680669    -3231.009242         -0.1239          0.0154          0.5716
    38    -3308.182759    -3231.009242          0.1192          0.0142          0.5858
    39    -3306.602743    -3231.009242         -0.3716          0.1381          0.7238
    40    -3295.005559    -3231.009242          0.0236          0.0006          0.7244
    41    -3294.690671    -3231.009242         -0.0168          0.0003          0.7247
    42    -3294.139646    -3231.009242          0.0033          0.0000          0.7247
    43    -3293.473917    -3231.009242         -0.0285          0.0008          0.7255
    44    -3293.328990    -3231.009242          0.0553          0.0031          0.7286
    45    -3289.588110    -3231.009242          0.0614          0.0038          0.7323
    46    -3289.101876    -3231.009242          0.1169          0.0137          0.7460
    47    -3288.968742    -3231.009242          0.0189          0.0004          0.7463
    48    -3286.925146    -3231.009242          0.0385          0.0015          0.7478
    49    -3286.607919    -3231.009242         -0.0004          0.0000          0.7478
    50    -3286.132352    -3231.009242         -0.0454          0.0021          0.7499
    51    -3285.456257    -3231.009242          0.0927          0.0086          0.7585
    52    -3285.066201    -3231.009242         -0.0659          0.0043          0.7628
    53    -3284.904900    -3231.009242         -0.1775          0.0315          0.7943
    54    -3284.374652    -3231.009242         -0.0861          0.0074          0.8017
    55    -3283.511281    -3231.009242         -0.2106          0.0444          0.8461
    56    -3262.812244    -3231.009242         -0.0021          0.0000          0.8461
    57    -3262.665812    -3231.009242          0.0734          0.0054          0.8515
    58    -3262.236596    -3231.009242          0.0004          0.0000          0.8515
    59    -3262.164748    -3231.009242          0.0114          0.0001          0.8516
    60    -3262.074022    -3231.009242         -0.0230          0.0005          0.8522
    61    -3261.948680    -3231.009242          0.0163          0.0003          0.8524
    62    -3261.492804    -3231.009242         -0.0012          0.0000          0.8524
    63    -3261.323137    -3231.009242          0.0064          0.0000          0.8525
    64    -3261.020034    -3231.009242          0.0361          0.0013          0.8538
    65    -3260.754632    -3231.009242         -0.0329          0.0011          0.8548
    66    -3260.665502    -3231.009242          0.0320          0.0010          0.8559
    67    -3260.508208    -3231.009242          0.0016          0.0000          0.8559
    68    -3260.426408    -3231.009242          0.0026          0.0000          0.8559
    69    -3260.359196    -3231.009242         -0.0277          0.0008          0.8567
    70    -3260.250241    -3231.009242          0.0146          0.0002          0.8569
    71    -3260.091411    -3231.009242          0.0037          0.0000          0.8569
    72    -3260.079849    -3231.009242         -0.0075          0.0001          0.8569
    73    -3260.040345    -3231.009242         -0.0182          0.0003          0.8573
    74    -3259.919716    -3231.009242          0.0147          0.0002          0.8575
    75    -3259.772278    -3231.009242         -0.0066          0.0000          0.8575
    76    -3259.708320    -3231.009242          0.0004          0.0000          0.8575
    77    -3259.645226    -3231.009242         -0.0038          0.0000          0.8575
    78    -3259.393741    -3231.009242          0.0002          0.0000          0.8575
    79    -3259.285183    -3231.009242         -0.0007          0.0000          0.8575
    80    -3254.283825    -3231.009242         -0.0098          0.0001          0.8576
    81    -3254.175534    -3231.009242         -0.0069          0.0000          0.8577
    82    -3254.081950    -3231.009242          0.0054          0.0000          0.8577
    83    -3253.933548    -3231.009242          0.0100          0.0001          0.8578
    84    -3253.633920    -3231.009242          0.0556          0.0031          0.8609
    85    -3253.356349    -3231.009242         -0.0229          0.0005          0.8614
    86    -3253.126328    -3231.009242         -0.0448          0.0020          0.8634
    87    -3253.099386    -3231.009242          0.0192          0.0004          0.8638
    88    -3252.783224    -3231.009242         -0.0205          0.0004          0.8642
    89    -3252.683406    -3231.009242          0.0175          0.0003          0.8645
    90    -3252.505949    -3231.009242         -0.0051          0.0000          0.8645
    91    -3251.164128    -3231.009242         -0.0215          0.0005          0.8650
    92    -3249.893079    -3231.009242          0.0014          0.0000          0.8650
    93    -3249.451961    -3231.009242         -0.0031          0.0000          0.8650
    94    -3248.576335    -3231.009242          0.0019          0.0000          0.8650
    95    -3248.084986    -3231.009242         -0.0078          0.0001          0.8651
    96    -3247.802472    -3231.009242         -0.0139          0.0002          0.8653
    97    -3247.527101    -3231.009242          0.0228          0.0005          0.8658
    98    -3247.472901    -3231.009242          0.0096          0.0001          0.8659
    99    -3246.894807    -3231.009242          0.0503          0.0025          0.8684
   100    -3246.718977    -3231.009242          0.0091          0.0001          0.8685
   101    -3246.439000    -3231.009242         -0.0144          0.0002          0.8687
   102    -3246.391146    -3231.009242          0.0292          0.0009          0.8696
   103    -3246.336387    -3231.009242          0.0067          0.0000          0.8696
   104    -3246.303028    -3231.009242          0.0018          0.0000          0.8696
   105    -3246.162404    -3231.009242         -0.0206          0.0004          0.8700
   106    -3245.975782    -3231.009242          0.0057          0.0000          0.8701
   107    -3245.919239    -3231.009242          0.0062          0.0000          0.8701
   108    -3245.816298    -3231.009242          0.0036          0.0000          0.8701
   109    -3245.689729    -3231.009242          0.0124          0.0002          0.8703
   110    -3245.620354    -3231.009242          0.0120          0.0001          0.8704
   111    -3245.542827    -3231.009242          0.0041          0.0000          0.8704
   112    -3245.521737    -3231.009242          0.0059          0.0000          0.8705
   113    -3245.386947    -3231.009242         -0.0112          0.0001          0.8706
   114    -3245.313422    -3231.009242          0.0035          0.0000          0.8706
   115    -3245.184955    -3231.009242         -0.0171          0.0003          0.8709
   116    -3245.084225    -3231.009242          0.0030          0.0000          0.8709
   117    -3244.968958    -3231.009242         -0.0021          0.0000          0.8709
   118    -3244.828926    -3231.009242          0.0070          0.0000          0.8710
   119    -3244.568745    -3231.009242         -0.0194          0.0004          0.8713
   120    -3244.442084    -3231.009242          0.0141          0.0002          0.8715
   121    -3244.159862    -3231.009242         -0.0352          0.0012          0.8728
   122    -3242.684178    -3231.009242         -0.0105          0.0001          0.8729
   123    -3241.196882    -3231.009242         -0.0499          0.0025          0.8754
   124    -3235.688699    -3231.009242          0.0031          0.0000          0.8754
   125    -3235.556117    -3231.009242         -0.0125          0.0002          0.8755
   126    -3234.824796    -3231.009242         -0.0075          0.0001          0.8756
   127    -3234.520463    -3231.009242          0.0029          0.0000          0.8756
   128    -3234.359748    -3231.009242          0.0020          0.0000          0.8756
   129    -3234.227240    -3231.009242          0.0102          0.0001          0.8757
   130    -3234.103380    -3231.009242          0.0035          0.0000          0.8757
   131    -3233.909486    -3231.009242          0.0231          0.0005          0.8763
   132    -3233.730456    -3231.009242          0.0088          0.0001          0.8763
   133    -3233.632481    -3231.009242          0.0227          0.0005          0.8768
   134    -3233.363469    -3231.009242          0.0015          0.0000          0.8768
   135    -3233.265126    -3231.009242         -0.0084          0.0001          0.8769
   136    -3233.231172    -3231.009242         -0.0055          0.0000          0.8769
   137    -3233.031411    -3231.009242         -0.0083          0.0001          0.8770
   138    -3232.811485    -3231.009242         -0.0094          0.0001          0.8771
   139    -3232.601481    -3231.009242          0.0020          0.0000          0.8771
   140    -3231.458866    -3231.009242         -0.0473          0.0022          0.8794
   141    -3230.864008    -3231.009242          0.0030          0.0000          0.8794
   142    -3230.679943    -3231.009242         -0.0002          0.0000          0.8794
   143    -3230.285859    -3231.009242          0.0107          0.0001          0.8795
   144    -3230.195892    -3231.009242         -0.0021          0.0000          0.8795
   145    -3229.806048    -3231.009242          0.0167          0.0003          0.8798
