 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3346.748270         -0.6913          0.4779          0.4779
     1    -3384.767759    -3346.748270         -0.3609          0.1302          0.6081
     2    -3384.706129    -3346.748270          0.2076          0.0431          0.6512
     3    -3384.584960    -3346.748270          0.1324          0.0175          0.6687
     4    -3384.215755    -3346.748270         -0.1217          0.0148          0.6835
     5    -3384.156306    -3346.748270          0.0337          0.0011          0.6847
     6    -3384.095371    -3346.748270          0.0152          0.0002          0.6849
     7    -3383.631358    -3346.748270          0.0357          0.0013          0.6862
     8    -3324.257903    -3346.748270          0.2589          0.0670          0.7532
     9    -3323.916046    -3346.748270          0.1426          0.0203          0.7736
    10    -3323.774643    -3346.748270          0.0929          0.0086          0.7822
    11    -3323.555754    -3346.748270          0.3249          0.1055          0.8877
    12    -3323.402957    -3346.748270         -0.1438          0.0207          0.9084
    13    -3323.278488    -3346.748270         -0.0357          0.0013          0.9097
    14    -3323.188830    -3346.748270         -0.0957          0.0092          0.9188
    15    -3323.082155    -3346.748270          0.1360          0.0185          0.9373
    16    -3322.889471    -3346.748270         -0.0150          0.0002          0.9375
    17    -3322.844311    -3346.748270          0.0353          0.0012          0.9388
    18    -3322.658096    -3346.748270          0.0192          0.0004          0.9392
    19    -3322.411821    -3346.748270          0.0776          0.0060          0.9452
    20    -3322.406310    -3346.748270          0.0225          0.0005          0.9457
    21    -3322.303495    -3346.748270         -0.0451          0.0020          0.9477
    22    -3322.029141    -3346.748270          0.0375          0.0014          0.9491
    23    -3321.749779    -3346.748270         -0.0205          0.0004          0.9495
    24    -3313.072679    -3346.748270         -0.0083          0.0001          0.9496
    25    -3312.306031    -3346.748270          0.0156          0.0002          0.9499
    26    -3311.484417    -3346.748270          0.0149          0.0002          0.9501
    27    -3311.333421    -3346.748270          0.0155          0.0002          0.9503
    28    -3310.340383    -3346.748270         -0.0388          0.0015          0.9518
    29    -3310.040472    -3346.748270         -0.0107          0.0001          0.9519
    30    -3309.939660    -3346.748270         -0.0994          0.0099          0.9618
    31    -3309.604728    -3346.748270         -0.0084          0.0001          0.9619
    32    -3309.426504    -3346.748270         -0.0121          0.0001          0.9620
    33    -3309.235615    -3346.748270         -0.0807          0.0065          0.9686
    34    -3309.143675    -3346.748270         -0.0788          0.0062          0.9748
    35    -3308.824728    -3346.748270         -0.0219          0.0005          0.9752
    36    -3308.756251    -3346.748270         -0.0170          0.0003          0.9755
    37    -3308.680669    -3346.748270          0.0466          0.0022          0.9777
    38    -3308.182759    -3346.748270          0.0052          0.0000          0.9777
    39    -3306.602743    -3346.748270         -0.0500          0.0025          0.9802
    40    -3295.005559    -3346.748270         -0.0005          0.0000          0.9802
    41    -3294.690671    -3346.748270          0.0001          0.0000          0.9802
    42    -3294.139646    -3346.748270         -0.0000          0.0000          0.9802
    43    -3293.473917    -3346.748270         -0.0022          0.0000          0.9802
    44    -3293.328990    -3346.748270          0.0078          0.0001          0.9803
    45    -3289.588110    -3346.748270          0.0061          0.0000          0.9803
    46    -3289.101876    -3346.748270          0.0072          0.0001          0.9804
    47    -3288.968742    -3346.748270          0.0105          0.0001          0.9805
    48    -3286.925146    -3346.748270          0.0025          0.0000          0.9805
    49    -3286.607919    -3346.748270         -0.0027          0.0000          0.9805
    50    -3286.132352    -3346.748270          0.0018          0.0000          0.9805
    51    -3285.456257    -3346.748270          0.0035          0.0000          0.9805
    52    -3285.066201    -3346.748270         -0.0098          0.0001          0.9806
    53    -3284.904900    -3346.748270          0.0048          0.0000          0.9806
    54    -3284.374652    -3346.748270          0.0045          0.0000          0.9807
    55    -3283.511281    -3346.748270         -0.0194          0.0004          0.9810
    56    -3262.812244    -3346.748270          0.0044          0.0000          0.9811
    57    -3262.665812    -3346.748270          0.0283          0.0008          0.9819
    58    -3262.236596    -3346.748270         -0.0017          0.0000          0.9819
    59    -3262.164748    -3346.748270          0.0020          0.0000          0.9819
    60    -3262.074022    -3346.748270         -0.0106          0.0001          0.9820
    61    -3261.948680    -3346.748270          0.0094          0.0001          0.9821
    62    -3261.492804    -3346.748270          0.0047          0.0000          0.9821
    63    -3261.323137    -3346.748270          0.0005          0.0000          0.9821
    64    -3261.020034    -3346.748270         -0.0055          0.0000          0.9821
    65    -3260.754632    -3346.748270          0.0099          0.0001          0.9822
    66    -3260.665502    -3346.748270         -0.0069          0.0000          0.9823
    67    -3260.508208    -3346.748270         -0.0032          0.0000          0.9823
    68    -3260.426408    -3346.748270         -0.0023          0.0000          0.9823
    69    -3260.359196    -3346.748270         -0.0000          0.0000          0.9823
    70    -3260.250241    -3346.748270         -0.0040          0.0000          0.9823
    71    -3260.091411    -3346.748270         -0.0088          0.0001          0.9824
    72    -3260.079849    -3346.748270          0.0041          0.0000          0.9824
    73    -3260.040345    -3346.748270         -0.0036          0.0000          0.9824
    74    -3259.919716    -3346.748270         -0.0006          0.0000          0.9824
    75    -3259.772278    -3346.748270          0.0005          0.0000          0.9824
    76    -3259.708320    -3346.748270          0.0001          0.0000          0.9824
    77    -3259.645226    -3346.748270         -0.0014          0.0000          0.9824
    78    -3259.393741    -3346.748270         -0.0023          0.0000          0.9824
    79    -3259.285183    -3346.748270         -0.0010          0.0000          0.9824
    80    -3254.283825    -3346.748270          0.0018          0.0000          0.9824
    81    -3254.175534    -3346.748270          0.0026          0.0000          0.9824
    82    -3254.081950    -3346.748270         -0.0010          0.0000          0.9824
    83    -3253.933548    -3346.748270         -0.0018          0.0000          0.9824
    84    -3253.633920    -3346.748270         -0.0071          0.0001          0.9825
    85    -3253.356349    -3346.748270          0.0030          0.0000          0.9825
    86    -3253.126328    -3346.748270          0.0143          0.0002          0.9827
    87    -3253.099386    -3346.748270         -0.0039          0.0000          0.9827
    88    -3252.783224    -3346.748270          0.0023          0.0000          0.9827
    89    -3252.683406    -3346.748270         -0.0058          0.0000          0.9828
    90    -3252.505949    -3346.748270          0.0014          0.0000          0.9828
    91    -3251.164128    -3346.748270          0.0069          0.0000          0.9828
    92    -3249.893079    -3346.748270         -0.0003          0.0000          0.9828
    93    -3249.451961    -3346.748270         -0.0008          0.0000          0.9828
    94    -3248.576335    -3346.748270          0.0024          0.0000          0.9828
    95    -3248.084986    -3346.748270         -0.0029          0.0000          0.9828
    96    -3247.802472    -3346.748270         -0.0036          0.0000          0.9828
    97    -3247.527101    -3346.748270          0.0062          0.0000          0.9829
    98    -3247.472901    -3346.748270          0.0015          0.0000          0.9829
    99    -3246.894807    -3346.748270          0.0175          0.0003          0.9832
   100    -3246.718977    -3346.748270          0.0046          0.0000          0.9832
   101    -3246.439000    -3346.748270         -0.0053          0.0000          0.9832
   102    -3246.391146    -3346.748270          0.0113          0.0001          0.9834
   103    -3246.336387    -3346.748270          0.0046          0.0000          0.9834
   104    -3246.303028    -3346.748270         -0.0000          0.0000          0.9834
   105    -3246.162404    -3346.748270         -0.0046          0.0000          0.9834
   106    -3245.975782    -3346.748270          0.0024          0.0000          0.9834
   107    -3245.919239    -3346.748270         -0.0010          0.0000          0.9834
   108    -3245.816298    -3346.748270          0.0004          0.0000          0.9834
   109    -3245.689729    -3346.748270          0.0031          0.0000          0.9834
   110    -3245.620354    -3346.748270          0.0049          0.0000          0.9834
   111    -3245.542827    -3346.748270          0.0008          0.0000          0.9834
   112    -3245.521737    -3346.748270          0.0020          0.0000          0.9834
   113    -3245.386947    -3346.748270         -0.0030          0.0000          0.9834
   114    -3245.313422    -3346.748270          0.0038          0.0000          0.9835
   115    -3245.184955    -3346.748270         -0.0029          0.0000          0.9835
   116    -3245.084225    -3346.748270          0.0001          0.0000          0.9835
   117    -3244.968958    -3346.748270          0.0001          0.0000          0.9835
   118    -3244.828926    -3346.748270          0.0011          0.0000          0.9835
   119    -3244.568745    -3346.748270         -0.0062          0.0000          0.9835
   120    -3244.442084    -3346.748270          0.0060          0.0000          0.9835
   121    -3244.159862    -3346.748270         -0.0087          0.0001          0.9836
   122    -3242.684178    -3346.748270         -0.0050          0.0000          0.9836
   123    -3241.196882    -3346.748270         -0.0140          0.0002          0.9838
   124    -3235.688699    -3346.748270          0.0009          0.0000          0.9838
   125    -3235.556117    -3346.748270         -0.0005          0.0000          0.9838
   126    -3234.824796    -3346.748270          0.0040          0.0000          0.9839
   127    -3234.520463    -3346.748270         -0.0002          0.0000          0.9839
   128    -3234.359748    -3346.748270          0.0013          0.0000          0.9839
   129    -3234.227240    -3346.748270          0.0007          0.0000          0.9839
   130    -3234.103380    -3346.748270         -0.0001          0.0000          0.9839
   131    -3233.909486    -3346.748270          0.0023          0.0000          0.9839
   132    -3233.730456    -3346.748270          0.0028          0.0000          0.9839
   133    -3233.632481    -3346.748270          0.0031          0.0000          0.9839
   134    -3233.363469    -3346.748270          0.0003          0.0000          0.9839
   135    -3233.265126    -3346.748270         -0.0017          0.0000          0.9839
   136    -3233.231172    -3346.748270         -0.0006          0.0000          0.9839
   137    -3233.031411    -3346.748270         -0.0040          0.0000          0.9839
   138    -3232.811485    -3346.748270         -0.0012          0.0000          0.9839
   139    -3232.601481    -3346.748270          0.0002          0.0000          0.9839
   140    -3231.458866    -3346.748270         -0.0041          0.0000          0.9839
   141    -3230.864008    -3346.748270          0.0012          0.0000          0.9839
   142    -3230.679943    -3346.748270          0.0004          0.0000          0.9839
